ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-9701898	STAT3 nuclear events downstream of ALK signaling	1/56	11/11091	0.0541832126931974	0.340906090038113	0.311329762591884	29126	1
R-HSA-112308	Presynaptic depolarization and calcium channel opening	1/56	12/11091	0.0589635141452893	0.340906090038113	0.311329762591884	777	1
R-HSA-1296346	Tandem pore domain potassium channels	1/56	12/11091	0.0589635141452893	0.340906090038113	0.311329762591884	89822	1
R-HSA-2029481	FCGR activation	1/56	12/11091	0.0589635141452893	0.340906090038113	0.311329762591884	2209	1
R-HSA-8851680	Butyrophilin (BTN) family interactions	1/56	12/11091	0.0589635141452893	0.340906090038113	0.311329762591884	153579	1
R-HSA-9700645	ALK mutants bind TKIs	1/56	12/11091	0.0589635141452893	0.340906090038113	0.311329762591884	2335	1
R-HSA-6806834	Signaling by MET	2/56	79/11091	0.0602621832792672	0.340906090038113	0.311329762591884	2335/3249	2
R-HSA-2168880	Scavenging of heme from plasma	1/56	13/11091	0.0637200845223872	0.340906090038113	0.311329762591884	3240	1
R-HSA-5140745	WNT5A-dependent internalization of FZD2, FZD5 and ROR2	1/56	13/11091	0.0637200845223872	0.340906090038113	0.311329762591884	4919	1
R-HSA-68884	Mitotic Telophase/Cytokinesis	1/56	13/11091	0.0637200845223872	0.340906090038113	0.311329762591884	10112	1
R-HSA-1474244	Extracellular matrix organization	4/56	300/11091	0.0644217816966115	0.340906090038113	0.311329762591884	2335/4327/1285/1286	4
R-HSA-190373	FGFR1c ligand binding and activation	1/56	14/11091	0.0684530395022341	0.340906090038113	0.311329762591884	3730	1
R-HSA-5578768	Physiological factors	1/56	14/11091	0.0684530395022341	0.340906090038113	0.311329762591884	10699	1
R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins	1/56	15/11091	0.0731624942090928	0.340906090038113	0.311329762591884	2335	1
R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	1/56	15/11091	0.0731624942090928	0.340906090038113	0.311329762591884	2335	1
R-HSA-3772470	Negative regulation of TCF-dependent signaling by WNT ligand antagonists	1/56	15/11091	0.0731624942090928	0.340906090038113	0.311329762591884	83999	1
R-HSA-9648895	Response of EIF2AK1 (HRI) to heme deficiency	1/56	15/11091	0.0731624942090928	0.340906090038113	0.311329762591884	467	1
R-HSA-1474290	Collagen formation	2/56	90/11091	0.0756613909394584	0.344199230999235	0.314337197259575	1285/1286	2
R-HSA-9651496	Defects of contact activation system (CAS) and kallikrein/kinin system (KKS)	1/56	16/11091	0.077848563216342	0.344199230999235	0.314337197259575	710	1
R-HSA-163125	Post-translational modification: synthesis of GPI-anchored proteins	2/56	92/11091	0.0785842993148938	0.344199230999235	0.314337197259575	51299/130576	2
R-HSA-416993	Trafficking of GluR2-containing AMPA receptors	1/56	17/11091	0.0825113605490632	0.345952700870628	0.31593853960788	23426	1
R-HSA-397014	Muscle contraction	3/56	205/11091	0.0846672684582033	0.345952700870628	0.31593853960788	10699/2258/89822	3
R-HSA-181429	Serotonin Neurotransmitter Release Cycle	1/56	18/11091	0.0871509996866153	0.345952700870628	0.31593853960788	6854	1
R-HSA-190242	FGFR1 ligand binding and activation	1/56	18/11091	0.0871509996866153	0.345952700870628	0.31593853960788	3730	1
R-HSA-446353	Cell-extracellular matrix interactions	1/56	18/11091	0.0871509996866153	0.345952700870628	0.31593853960788	55742	1
R-HSA-389661	Glyoxylate metabolism and glycine degradation	1/56	19/11091	0.0917675935651983	0.345952700870628	0.31593853960788	8528	1
R-HSA-5576886	Phase 4 - resting membrane potential	1/56	19/11091	0.0917675935651983	0.345952700870628	0.31593853960788	89822	1
R-HSA-9671793	Diseases of hemostasis	1/56	19/11091	0.0917675935651983	0.345952700870628	0.31593853960788	710	1
R-HSA-9633012	Response of EIF2AK4 (GCN2) to amino acid deficiency	2/56	102/11091	0.0937095080976905	0.345952700870628	0.31593853960788	6192/467	2
R-HSA-111471	Apoptotic factor-mediated response	1/56	20/11091	0.0963612545804033	0.345952700870628	0.31593853960788	5414	1
R-HSA-388844	Receptor-type tyrosine-protein phosphatases	1/56	20/11091	0.0963612545804033	0.345952700870628	0.31593853960788	26050	1
R-HSA-140875	Common Pathway of Fibrin Clot Formation	1/56	22/11091	0.105480224915224	0.372583375103774	0.340258790049108	57126	1
R-HSA-140837	Intrinsic Pathway of Fibrin Clot Formation	1/56	23/11091	0.110005756345773	0.376425947495691	0.34376798858054	710	1
R-HSA-212676	Dopamine Neurotransmitter Release Cycle	1/56	23/11091	0.110005756345773	0.376425947495691	0.34376798858054	6854	1
R-HSA-210500	Glutamate Neurotransmitter Release Cycle	1/56	24/11091	0.114508799139831	0.385806569409584	0.352334766584095	6507	1
R-HSA-2029485	Role of phospholipids in phagocytosis	1/56	25/11091	0.118989463027801	0.388980774911375	0.35523358439395	2209	1
R-HSA-373760	L1CAM interactions	2/56	119/11091	0.121120613068903	0.388980774911375	0.35523358439395	287/4897	2
R-HSA-3238698	WNT ligand biogenesis and trafficking	1/56	26/11091	0.123447857214539	0.388980774911375	0.35523358439395	51384	1
R-HSA-1368108	BMAL1:CLOCK,NPAS2 activates circadian gene expression	1/56	27/11091	0.127884090381822	0.388980774911375	0.35523358439395	79365	1
R-HSA-3000170	Syndecan interactions	1/56	27/11091	0.127884090381822	0.388980774911375	0.35523358439395	2335	1
R-HSA-354192	Integrin signaling	1/56	27/11091	0.127884090381822	0.388980774911375	0.35523358439395	2335	1
R-HSA-380994	ATF4 activates genes in response to endoplasmic reticulum  stress	1/56	27/11091	0.127884090381822	0.388980774911375	0.35523358439395	467	1
R-HSA-5620971	Pyroptosis	1/56	28/11091	0.132298270690808	0.396894812072424	0.362461015591255	838	1
R-HSA-114608	Platelet degranulation	2/56	129/11091	0.138066823127302	0.406478127776715	0.371212902079192	710/2335	2
R-HSA-201556	Signaling by ALK	1/56	30/11091	0.141060902790093	0.406478127776715	0.371212902079192	29126	1
R-HSA-8874081	MET activates PTK2 signaling	1/56	30/11091	0.141060902790093	0.406478127776715	0.371212902079192	2335	1
R-HSA-399719	Trafficking of AMPA receptors	1/56	31/11091	0.145409568321578	0.406755890621075	0.371466566777237	23426	1
R-HSA-399721	Glutamate binding, activation of AMPA receptors and synaptic plasticity	1/56	31/11091	0.145409568321578	0.406755890621075	0.371466566777237	23426	1
R-HSA-76005	Response to elevated platelet cytosolic Ca2+	2/56	134/11091	0.146729293877009	0.406755890621075	0.371466566777237	710/2335	2
R-HSA-381042	PERK regulates gene expression	1/56	32/11091	0.149736608481975	0.409903965719407	0.374341521204937	467	1
R-HSA-202733	Cell surface interactions at the vascular wall	2/56	137/11091	0.151980856180229	0.410911203746544	0.375261373284515	57126/2335	2
R-HSA-5654726	Negative regulation of FGFR1 signaling	1/56	33/11091	0.154042128865826	0.411405197824584	0.375712509428844	3730	1
R-HSA-4791275	Signaling by WNT in cancer	1/56	34/11091	0.158326234561568	0.412779111535517	0.37696722514659	83999	1
R-HSA-5576892	Phase 0 - rapid depolarisation	1/56	34/11091	0.158326234561568	0.412779111535517	0.37696722514659	2258	1
R-HSA-6802948	Signaling by high-kinase activity BRAF mutants	1/56	36/11091	0.166830619726215	0.4256840045791	0.388752515597352	2335	1
R-HSA-2129379	Molecules associated with elastic fibres	1/56	37/11091	0.171051106862835	0.4256840045791	0.388752515597352	2335	1
R-HSA-75105	Fatty acyl-CoA biosynthesis	1/56	37/11091	0.171051106862835	0.4256840045791	0.388752515597352	55301	1
R-HSA-9735869	SARS-CoV-1 modulates host translation machinery	1/56	37/11091	0.171051106862835	0.4256840045791	0.388752515597352	6192	1
R-HSA-76009	Platelet Aggregation (Plug Formation)	1/56	39/11091	0.179429185685545	0.43312464644732	0.39554762232632	2335	1
R-HSA-5674135	MAP2K and MAPK activation	1/56	40/11091	0.183586982066436	0.43312464644732	0.39554762232632	2335	1
R-HSA-9664323	FCGR3A-mediated IL10 synthesis	1/56	40/11091	0.183586982066436	0.43312464644732	0.39554762232632	2209	1
R-HSA-8875878	MET promotes cell motility	1/56	41/11091	0.187724085405888	0.43312464644732	0.39554762232632	2335	1
R-HSA-9609736	Assembly and cell surface presentation of NMDA receptors	1/56	41/11091	0.187724085405888	0.43312464644732	0.39554762232632	116443	1
R-HSA-9711097	Cellular response to starvation	2/56	157/11091	0.187848472338438	0.43312464644732	0.39554762232632	6192/467	2
R-HSA-418555	G alpha (s) signalling events	2/56	158/11091	0.189674393098933	0.43312464644732	0.39554762232632	2335/53831	2
R-HSA-2173782	Binding and Uptake of Ligands by Scavenger Receptors	1/56	42/11091	0.191840596828265	0.43312464644732	0.39554762232632	3240	1
R-HSA-9696273	RND1 GTPase cycle	1/56	42/11091	0.191840596828265	0.43312464644732	0.39554762232632	94240	1
R-HSA-9656223	Signaling by RAF1 mutants	1/56	43/11091	0.195936616972859	0.437858358337307	0.399870646883386	2335	1
R-HSA-1566948	Elastic fibre formation	1/56	44/11091	0.200012245996168	0.442451332052129	0.404065143426602	2335	1
R-HSA-9634597	GPER1 signaling	1/56	45/11091	0.204067583574173	0.446671095916389	0.407918809056063	2335	1
R-HSA-6802946	Signaling by moderate kinase activity BRAF mutants	1/56	47/11091	0.212117780709153	0.446671095916389	0.407918809056063	2335	1
R-HSA-6802949	Signaling by RAS mutants	1/56	47/11091	0.212117780709153	0.446671095916389	0.407918809056063	2335	1
R-HSA-6802955	Paradoxical activation of RAF signaling by kinase inactive BRAF	1/56	47/11091	0.212117780709153	0.446671095916389	0.407918809056063	2335	1
R-HSA-9649948	Signaling downstream of RAS mutants	1/56	47/11091	0.212117780709153	0.446671095916389	0.407918809056063	2335	1
R-HSA-1236978	Cross-presentation of soluble exogenous antigens (endosomes)	1/56	49/11091	0.220087996260955	0.459040677915707	0.419215230973248	2209	1
R-HSA-6798695	Neutrophil degranulation	4/56	480/11091	0.223135065133738	0.46100546475744	0.42100955685611	57126/3240/2352/53831	4
R-HSA-9754678	SARS-CoV-2 modulates host translation machinery	1/56	51/11091	0.227979010568121	0.465131678132646	0.424777788248991	6192	1
R-HSA-5654736	Signaling by FGFR1	1/56	52/11091	0.231895059065239	0.465131678132646	0.424777788248991	3730	1
R-HSA-72695	Formation of the ternary complex, and subsequently, the 43S complex	1/56	52/11091	0.231895059065239	0.465131678132646	0.424777788248991	6192	1
R-HSA-195721	Signaling by WNT	3/56	331/11091	0.233627783536945	0.465131678132646	0.424777788248991	83999/51384/4919	3
R-HSA-5620924	Intraflagellar transport	1/56	54/11091	0.23966871831068	0.472859903694044	0.431835528487711	79989	1
R-HSA-109606	Intrinsic Pathway for Apoptosis	1/56	55/11091	0.243526519504356	0.476181319387982	0.434868784829207	5414	1
R-HSA-447115	Interleukin-12 family signaling	1/56	57/11091	0.251184537722233	0.486808971337779	0.4445744030482	246778	1
R-HSA-72649	Translation initiation complex formation	1/56	59/11091	0.258766402011637	0.487236042327606	0.444964422216992	6192	1
R-HSA-72702	Ribosomal scanning and start codon recognition	1/56	59/11091	0.258766402011637	0.487236042327606	0.444964422216992	6192	1
R-HSA-983189	Kinesins	1/56	59/11091	0.258766402011637	0.487236042327606	0.444964422216992	10112	1
R-HSA-5218859	Regulated Necrosis	1/56	60/11091	0.262529009108025	0.487236042327606	0.444964422216992	838	1
R-HSA-72662	Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	1/56	60/11091	0.262529009108025	0.487236042327606	0.444964422216992	6192	1
R-HSA-2029482	Regulation of actin dynamics for phagocytic cup formation	1/56	61/11091	0.26627285603849	0.490031558591842	0.447517405106705	2209	1
R-HSA-9033241	Peroxisomal protein import	1/56	63/11091	0.273704636339781	0.499510961320101	0.456174393899635	8528	1
R-HSA-112314	Neurotransmitter receptors and postsynaptic signal transmission	2/56	205/11091	0.277266744168501	0.501829892338031	0.458292139121489	116443/23426	2
R-HSA-6802952	Signaling by BRAF and RAF1 fusions	1/56	67/11091	0.288347086670779	0.517606655581153	0.472700142083245	2335	1
R-HSA-5357801	Programmed Cell Death	2/56	213/11091	0.292289523258198	0.52041793165484	0.475267517493004	838/5414	2
R-HSA-400253	Circadian Clock	1/56	70/11091	0.299138280658007	0.528316802129867	0.482481097835495	79365	1
R-HSA-376176	Signaling by ROBO receptors	2/56	219/11091	0.303536541913302	0.531796021432106	0.485658467061284	6192/57522	2
R-HSA-909733	Interferon alpha/beta signaling	1/56	77/11091	0.323696636864552	0.561177668884652	0.512491021812468	3429	1
R-HSA-422356	Regulation of insulin secretion	1/56	78/11091	0.3271352593755	0.561177668884652	0.512491021812468	777	1
R-HSA-9662851	Anti-inflammatory response favouring Leishmania parasite infection	1/56	79/11091	0.330556709069042	0.561177668884652	0.512491021812468	2209	1
R-HSA-9664433	Leishmania parasite growth and survival	1/56	79/11091	0.330556709069042	0.561177668884652	0.512491021812468	2209	1
R-HSA-6802957	Oncogenic MAPK signaling	1/56	84/11091	0.347409298515859	0.564963173483156	0.515948103637585	2335	1
R-HSA-2029480	Fcgamma receptor (FCGR) dependent phagocytosis	1/56	86/11091	0.354033040932855	0.564963173483156	0.515948103637585	2209	1
R-HSA-6794362	Protein-protein interactions at synapses	1/56	86/11091	0.354033040932855	0.564963173483156	0.515948103637585	26050	1
R-HSA-9013404	RAC2 GTPase cycle	1/56	88/11091	0.36059074147027	0.564963173483156	0.515948103637585	26050	1
R-HSA-190236	Signaling by FGFR	1/56	89/11091	0.363845028344546	0.564963173483156	0.515948103637585	3730	1
R-HSA-156902	Peptide chain elongation	1/56	90/11091	0.367083046742356	0.564963173483156	0.515948103637585	6192	1
R-HSA-192823	Viral mRNA Translation	1/56	90/11091	0.367083046742356	0.564963173483156	0.515948103637585	6192	1
R-HSA-9700206	Signaling by ALK in cancer	1/56	91/11091	0.37030487651987	0.564963173483156	0.515948103637585	2335	1
R-HSA-9725370	Signaling by ALK fusions and activated point mutants	1/56	91/11091	0.37030487651987	0.564963173483156	0.515948103637585	2335	1
R-HSA-4086400	PCP/CE pathway	1/56	92/11091	0.373510597148496	0.564963173483156	0.515948103637585	4919	1
R-HSA-442755	Activation of NMDA receptors and postsynaptic events	1/56	93/11091	0.376700287716701	0.564963173483156	0.515948103637585	116443	1
R-HSA-156842	Eukaryotic Translation Elongation	1/56	94/11091	0.379874026931819	0.564963173483156	0.515948103637585	6192	1
R-HSA-2408557	Selenocysteine synthesis	1/56	94/11091	0.379874026931819	0.564963173483156	0.515948103637585	6192	1
R-HSA-72764	Eukaryotic Translation Termination	1/56	94/11091	0.379874026931819	0.564963173483156	0.515948103637585	6192	1
R-HSA-9013423	RAC3 GTPase cycle	1/56	94/11091	0.379874026931819	0.564963173483156	0.515948103637585	26050	1
R-HSA-373080	Class B/2 (Secretin family receptors)	1/56	95/11091	0.383031893121854	0.564963173483156	0.515948103637585	51384	1
R-HSA-381119	Unfolded Protein Response (UPR)	1/56	95/11091	0.383031893121854	0.564963173483156	0.515948103637585	467	1
R-HSA-76002	Platelet activation, signaling and aggregation	2/56	263/11091	0.384691023022304	0.564963173483156	0.515948103637585	710/2335	2
R-HSA-9692914	SARS-CoV-1-host interactions	1/56	96/11091	0.386173964237276	0.564963173483156	0.515948103637585	6192	1
R-HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	1/56	96/11091	0.386173964237276	0.564963173483156	0.515948103637585	6192	1
R-HSA-5619102	SLC transporter disorders	1/56	98/11091	0.392411031169179	0.564963173483156	0.515948103637585	6507	1
R-HSA-6811434	COPI-dependent Golgi-to-ER retrograde traffic	1/56	99/11091	0.395506181014946	0.564963173483156	0.515948103637585	10112	1
R-HSA-9012999	RHO GTPase cycle	3/56	449/11091	0.396814779761538	0.564963173483156	0.515948103637585	94240/57522/26050	3
R-HSA-3247509	Chromatin modifying enzymes	2/56	270/11091	0.397280039800941	0.564963173483156	0.515948103637585	7404/8284	2
R-HSA-4839726	Chromatin organization	2/56	270/11091	0.397280039800941	0.564963173483156	0.515948103637585	7404/8284	2
R-HSA-6807878	COPI-mediated anterograde transport	1/56	101/11091	0.401650095758357	0.567492715942453	0.5182581880753	287	1
R-HSA-72689	Formation of a pool of free 40S subunits	1/56	102/11091	0.404699012467869	0.568135152118355	0.518844887779319	6192	1
R-HSA-1296071	Potassium Channels	1/56	103/11091	0.40773266933399	0.568748118370342	0.519404674310815	89822	1
R-HSA-1236975	Antigen processing-Cross presentation	1/56	105/11091	0.413754503149376	0.57349516575768	0.523739877404274	2209	1
R-HSA-163685	Integration of energy metabolism	1/56	108/11091	0.422674668169936	0.574942561051031	0.525061699589982	777	1
R-HSA-6785807	Interleukin-4 and Interleukin-13 signaling	1/56	108/11091	0.422674668169936	0.574942561051031	0.525061699589982	2335	1
R-HSA-8957275	Post-translational protein phosphorylation	1/56	108/11091	0.422674668169936	0.574942561051031	0.525061699589982	2335	1
R-HSA-425393	Transport of inorganic cations/anions and amino acids/oligopeptides	1/56	110/11091	0.428547245891736	0.579332387964754	0.529070673940414	6507	1
R-HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression	1/56	112/11091	0.434361143554759	0.58034504597463	0.529995475775917	6192	1
R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane	1/56	113/11091	0.437246267515132	0.58034504597463	0.529995475775917	6192	1
R-HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	1/56	113/11091	0.437246267515132	0.58034504597463	0.529995475775917	6192	1
R-HSA-446728	Cell junction organization	1/56	115/11091	0.442973222956574	0.581151952331161	0.530732376558138	55742	1
R-HSA-927802	Nonsense-Mediated Decay (NMD)	1/56	116/11091	0.445815196308836	0.581151952331161	0.530732376558138	6192	1
R-HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	1/56	116/11091	0.445815196308836	0.581151952331161	0.530732376558138	6192	1
R-HSA-2408522	Selenoamino acid metabolism	1/56	119/11091	0.454255942942563	0.585333679894523	0.534551305839747	6192	1
R-HSA-72613	Eukaryotic Translation Initiation	1/56	120/11091	0.457041366492984	0.585333679894523	0.534551305839747	6192	1
R-HSA-72737	Cap-dependent Translation Initiation	1/56	120/11091	0.457041366492984	0.585333679894523	0.534551305839747	6192	1
R-HSA-2132295	MHC class II antigen presentation	1/56	123/11091	0.465314128172303	0.592463919010083	0.541062939735236	10112	1
R-HSA-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	1/56	125/11091	0.470760395049856	0.595933679282765	0.544231670577868	2335	1
R-HSA-196849	Metabolism of water-soluble vitamins and cofactors	1/56	127/11091	0.476152167405831	0.599294969321132	0.547301341845782	4337	1
R-HSA-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	1/56	133/11091	0.492005846045	0.61221181979463	0.559097552323863	2209	1
R-HSA-8856688	Golgi-to-ER retrograde transport	1/56	133/11091	0.492005846045	0.61221181979463	0.559097552323863	10112	1
R-HSA-168273	Influenza Viral RNA Transcription and Replication	1/56	136/11091	0.499755009393915	0.61834094382637	0.564694925868831	6192	1
R-HSA-9678108	SARS-CoV-1 Infection	1/56	142/11091	0.514906655566704	0.633508750388248	0.578546804007533	6192	1
R-HSA-3858494	Beta-catenin independent WNT signaling	1/56	146/11091	0.52475639262279	0.641412033236909	0.585764413914986	4919	1
R-HSA-8980692	RHOA GTPase cycle	1/56	147/11091	0.527187972523487	0.641412033236909	0.585764413914986	57522	1
R-HSA-1500931	Cell-Cell communication	1/56	153/11091	0.541522929977073	0.653656021364411	0.596946138232339	55742	1
R-HSA-199977	ER to Golgi Anterograde Transport	1/56	154/11091	0.543870225270663	0.653656021364411	0.596946138232339	287	1
R-HSA-9013148	CDC42 GTPase cycle	1/56	155/11091	0.54620571648259	0.653656021364411	0.596946138232339	57522	1
R-HSA-168255	Influenza Infection	1/56	157/11091	0.550841519524674	0.655621156390781	0.598740782092037	6192	1
R-HSA-71291	Metabolism of amino acids and derivatives	2/56	367/11091	0.557540035515774	0.660006852853809	0.602745984341378	6192/8528	2
R-HSA-9609507	Protein localization	1/56	164/11091	0.566703478367738	0.660149264694333	0.602876040816743	8528	1
R-HSA-9658195	Leishmania infection	1/56	164/11091	0.566703478367738	0.660149264694333	0.602876040816743	2209	1
R-HSA-9824443	Parasitic Infection Pathways	1/56	164/11091	0.566703478367738	0.660149264694333	0.602876040816743	2209	1
R-HSA-983231	Factors involved in megakaryocyte development and platelet production	1/56	168/11091	0.575519069517971	0.666871302774792	0.609014888378805	10112	1
R-HSA-9010553	Regulation of expression of SLITs and ROBOs	1/56	172/11091	0.584158442611235	0.673319468062424	0.6149036238013	6192	1
R-HSA-5619115	Disorders of transmembrane transporters	1/56	176/11091	0.592625057348571	0.675962956038214	0.617317768071428	6507	1
R-HSA-8978868	Fatty acid metabolism	1/56	176/11091	0.592625057348571	0.675962956038214	0.617317768071428	55301	1
R-HSA-109581	Apoptosis	1/56	180/11091	0.600922306740051	0.681875570860472	0.622717416310933	5414	1
R-HSA-6791226	Major pathway of rRNA processing in the nucleolus and cytosol	1/56	185/11091	0.611060761693905	0.682766871484517	0.623531389483577	6192	1
R-HSA-9013149	RAC1 GTPase cycle	1/56	185/11091	0.611060761693905	0.682766871484517	0.623531389483577	57522	1
R-HSA-948021	Transport to the Golgi and subsequent modification	1/56	185/11091	0.611060761693905	0.682766871484517	0.623531389483577	287	1
R-HSA-8868773	rRNA processing in the nucleus and cytosol	1/56	195/11091	0.630584636339024	0.701005255625616	0.640187448059923	6192	1
R-HSA-196854	Metabolism of vitamins and cofactors	1/56	198/11091	0.636251761822116	0.703314466298925	0.642296316254726	4337	1
R-HSA-5617833	Cilium Assembly	1/56	201/11091	0.641833478136882	0.703314466298925	0.642296316254726	79989	1
R-HSA-6811442	Intra-Golgi and retrograde Golgi-to-ER traffic	1/56	202/11091	0.643675289452248	0.703314466298925	0.642296316254726	10112	1
R-HSA-9705683	SARS-CoV-2-host interactions	1/56	203/11091	0.645507797836	0.703314466298925	0.642296316254726	6192	1
R-HSA-72312	rRNA processing	1/56	205/11091	0.649145090138902	0.703776112576334	0.642717911028616	6192	1
R-HSA-416476	G alpha (q) signalling events	1/56	216/11091	0.668504529763788	0.721194541961919	0.658625152476638	2865	1
R-HSA-5663202	Diseases of signal transduction by growth factor receptors and second messengers	2/56	459/11091	0.68027013887206	0.730290002024417	0.666931508698098	2335/83999	2
R-HSA-500792	GPCR ligand binding	2/56	468/11091	0.690693805354997	0.736735304094346	0.672817629309905	2865/51384	2
R-HSA-201681	TCF dependent signaling in response to WNT	1/56	232/11091	0.694804270468199	0.736735304094346	0.672817629309905	83999	1
R-HSA-449147	Signaling by Interleukins	2/56	473/11091	0.696366246335752	0.736735304094346	0.672817629309905	2335/246778	2
R-HSA-425407	SLC-mediated transmembrane transport	1/56	249/11091	0.720502801715464	0.758606315267724	0.692791155495638	6507	1
R-HSA-5673001	RAF/MAP kinase cascade	1/56	280/11091	0.762008211143215	0.798467934164422	0.72919446042413	2335	1
R-HSA-5684996	MAPK1/MAPK3 signaling	1/56	286/11091	0.769311407631924	0.802281896530435	0.732677531078023	2335	1
R-HSA-72766	Translation	1/56	292/11091	0.776394373698394	0.805831127203547	0.73591883762881	6192	1
R-HSA-1852241	Organelle biogenesis and maintenance	1/56	296/11091	0.780997230421906	0.806483622077177	0.736514723358153	79989	1
R-HSA-9694516	SARS-CoV-2 Infection	1/56	299/11091	0.784388180376433	0.806483622077177	0.736514723358153	6192	1
R-HSA-446203	Asparagine N-linked glycosylation	1/56	304/11091	0.789925520629638	0.808381724382667	0.738248150121157	287	1
R-HSA-5683057	MAPK family signaling cascades	1/56	325/11091	0.811696255132964	0.826797580809856	0.755066283844618	2335	1
