Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
TFAP2C 20629094 ChIP-Seq MCF-7 Human	13/1034	0.0266249487252061	0.999996156349101	0	0	1.91916160626836	6.95870069772624	KREMEN1;IL27;KCNK17;GPR84;LRP1B;VSIG10;ETV7;PKIB;LYPD6B;NOS1AP;NRCAM;SRGAP1;MOCS1
SUZ12 16625203 ChIP-ChIP MESCs Mouse	12/944	0.0303084628902395	0.999996156349101	0	0	1.93439607602698	6.76328374819357	PKIB;MOXD1;NRN1;ROR1;OTX1;WNT16;CACNA1E;SYN2;ATF3;COCH;CORIN;GDF7
POU5F1 16153702 ChIP-ChIP HESCs Human	7/433	0.030757998788191	0.999996156349101	0	0	2.43794574060137	8.4879645564898	C1QA;NRN1;EIF1AY;ROR1;OTX1;CYYR1;SOX5
SMAD4 21741376 ChIP-Seq HESCs Human	20/1862	0.0309138622896239	0.999996156349101	0	0	1.65810927694658	5.7645007649736	GBP5;PLLP;RFPL2;FAM118A;FN1;ANK2;PARVA;CACNA1E;ETV7;GRIP1;PKIB;LYPD6B;EPSTI1;PRR16;SLAMF8;NRCAM;ROR1;FGF13;ATF3;SOX5
TAL1 26923725 Chip-Seq MACROPHAGESS Mouse	2/44	0.0370239932711075	0.999996156349101	0	0	6.93977591036415	22.8748137796045	CSMD1;MYOM2
IRF1 21803131 ChIP-Seq MONOCYTES Human	5/276	0.0426666626603136	0.999996156349101	0	0	2.71772604944094	8.57262491426355	CD274;PKIB;APOL4;EPSTI1;GBP1
PCGF4 22325352 ChIP-Seq 293T-Rex Human	17/1594	0.0478219574488108	0.999996156349101	0	0	1.62902152323954	4.95266589217454	GBP6;C1QB;GBP5;C1QA;C4BPA;CACNA1E;LRP1B;GDF7;FHAD1;COL4A4;LYPD6B;ROR1;OTX1;FCGR1A;GBP1;ATF3;C1QC
EP300 21415370 ChIP-Seq HL-1 Mouse	8/600	0.0564081656883435	0.999996156349101	0	0	2.0031185031185	5.7592488357633	ANXA3;COL4A3;NOS1AP;SLC1A3;ROR1;WNT16;SYN2;MYOM2
JARID2 20075857 ChIP-Seq MESCs Mouse	12/1055	0.0610790118586373	0.999996156349101	0	0	1.71839474044651	4.80392195702355	NRN1;GRIN3A;NOS1AP;BHLHE41;SLITRK5;OTX1;WNT16;CSMD1;ATF3;COCH;CORIN;GDF7
FOXP2 21765815 ChIP-ChIP NEURO2A Mouse	9/726	0.0644184331106513	0.999996156349101	0	0	1.8628977328014	5.10872776599097	MOXD1;BATF2;NRN1;FBXO39;EPSTI1;KIF20A;CSMD1;MYOM2;SOX5
EED 16625203 ChIP-ChIP MESCs Mouse	8/628	0.0696263961381752	0.999996156349101	0	0	1.90987593052109	5.08907742281852	NRN1;OTX1;WNT16;CACNA1E;ATF3;COCH;CORIN;GDF7
TBX4 33478486 ChIP-Seq IMR90 Human Lung	4/226	0.0715628000594042	0.999996156349101	0	0	2.64084980502891	6.96439600433407	HPN;FBXO39;CACNA1E;SYBU
ZFP57 27257070 Chip-Seq ESCs Mouse	9/744	0.07264309583467	0.999996156349101	0	0	1.8155671570954	4.76077461960366	USP9Y;PRR16;SLITRK5;ANK2;WNT16;CSMD1;LRP1B;MYOM2;SOX5
RXR 22108803 ChIP-Seq LS180 Human	6/428	0.0764158178271298	0.999996156349101	0	0	2.09392503231366	5.38466550798795	FHAD1;GRIP1;OLAH;EPSTI1;PRR16;XKR3
ESR1 30970003 ChIP-Seq MCF-7 Human BreastCancer	10/868	0.077904449065796	0.999996156349101	0	0	1.73040501165501	4.41646463230727	FHAD1;PKIB;ANXA3;LYPD6B;HPN;FN1;ANK2;WNT16;SYBU;VSIG10
ETV1 20927104 ChIP-Seq GIST48 Human	16/1588	0.0808700507255176	0.999996156349101	0	0	1.5258832853627	3.83746176477095	GBP6;C1QB;GBP5;C1QA;C4BPA;CACNA1E;GDF7;FHAD1;LYPD6B;COL4A3;ROR1;OTX1;FCGR1A;GBP1;ATF3;C1QC
CRX 20693478 ChIP-Seq ADULT RETINA Mouse	7/544	0.0830767134344155	0.999996156349101	0	0	1.92296757502097	4.78432571189078	GRIP1;WDR17;FBXO39;PRR16;KREMEN1;SRGAP1;CD177
SMAD4 21741376 ChIP-Seq EPCs Human	16/1603	0.086192238988134	0.999996156349101	0	0	1.51022136828948	3.70181707431058	C1QA;KCNK17;WNT16;CACNA1E;VSIG10;DDO;ARL17B;FHAD1;ETV7;EPSTI1;PRR16;FFAR3;MMP19;SRGAP1;GBP1;ATF3
STAT3 23295773 ChIP-Seq U87 Human	24/2637	0.0935023512823967	0.999996156349101	0	0	1.38973150442121	3.29334221446423	CD274;MOXD1;WDR17;FN1;SLC1A3;C4BPA;ANK2;PARVA;PDCD1LG2;SYN2;LRP1B;MYOM2;GRIP1;PKIB;GRIN3A;PRR16;TMEM119;ROR1;CYYR1;FGF13;SRGAP1;CSMD1;CORIN;SOX5
TEAD4 22529382 ChIP-Seq TROPHECTODERM Mouse	17/1748	0.0939218059595048	0.999996156349101	0	0	1.47159478827984	3.48075240181659	MOXD1;BHLHE41;KREMEN1;SLC1A3;ANK2;WNT16;CACNA1E;LRP1B;DDO;GRIP1;GRIN3A;COL4A4;COL4A3;NOS1AP;OTX1;ATF3;SOX5
GATA1 26923725 Chip-Seq HPCs Mouse	3/160	0.0990273964961477	0.999996156349101	0	0	2.78910120311394	6.44940252939153	GRIP1;SLC26A8;COCH
TP53 16413492 ChIP-PET HCT116 Human	4/269	0.115924053556662	0.999996156349101	0	0	2.20749084764855	4.7567454570514	WDR17;KCNK17;CACNA1E;ATF3
ESR1 22446102 ChIP-Seq UTERUS Mouse	12/1183	0.116601356944411	0.999996156349101	0	0	1.52014964824529	3.26679303188384	MOXD1;ANXA3;COL4A4;FN1;MMP19;ROR1;PARVA;PDCD1LG2;SRGAP1;CSMD1;DDO;SOX5
CTNNB1 20460455 ChIP-Seq HCT116 Human	9/824	0.116805812744668	0.999996156349101	0	0	1.63050363817948	3.50108661565314	FHAD1;LYPD6B;COL4A3;FN1;NRCAM;ANK2;WNT16;SYN2;C1QC
STAT5B 24692510 ChIP-Seq Epithelium Mouse Mammary	6/484	0.118710336852537	0.999996156349101	0	0	1.84328642069228	3.92817035997478	CD274;OLAH;ANKRD22;NOS1AP;PDCD1LG2;CD177
POU3F2 20337985 ChIP-ChIP 501MEL Human	13/1319	0.123446249250891	0.999996156349101	0	0	1.47766003062787	3.0911900830266	MOXD1;FN1;SLC1A3;WNT16;LRP1B;PKIB;GRIN3A;CASP5;PRR16;SLITRK5;XKR3;CORIN;SOX5
EZH2 27304074 Chip-Seq ESCs Mouse	8/722	0.126868129059351	0.999996156349101	0	0	1.65033397974574	3.4072912286017	NRN1;GRIN3A;BHLHE41;OTX1;CSMD1;LRP1B;COCH;GDF7
P300 19829295 ChIP-Seq ESCs Human	15/1594	0.135918053951787	0.999996156349101	0	0	1.41205455753101	2.81804168511622	PLEKHG7;ANXA3;RFPL2;ANK2;ZFY;CACNA1E;ARL17B;FHAD1;LYPD6B;EPSTI1;PRR16;SLITRK5;FGF13;CSMD1;SOX5
CBX2 22325352 ChIP-Seq 293T-Rex Human	15/1595	0.13641734597213	0.999996156349101	0	0	1.4110836677987	2.81092998987202	GBP6;C1QB;GBP5;C1QA;C4BPA;CACNA1E;LRP1B;GDF7;FHAD1;COL4A4;LYPD6B;ROR1;OTX1;ATF3;C1QC
RNF2 16625203 ChIP-ChIP MESCs Mouse	9/854	0.136519391983905	0.999996156349101	0	0	1.57013898445025	3.12659987370381	MOXD1;NRN1;SLC1A3;OTX1;WNT16;CACNA1E;ATF3;CORIN;GDF7
SMAD3 21741376 ChIP-Seq HESCs Human	10/984	0.142726996218001	0.999996156349101	0	0	1.51501540041068	2.94946469186271	GRIP1;LYPD6B;EPSTI1;FN1;NRCAM;ANK2;ROR1;PARVA;FGF13;ATF3
HOXA2 22223247 ChIP-Seq E11.5 EMBRYO Mouse	1/23	0.147291532749107	0.999996156349101	0	0	6.58261446582614	12.6079542712546	OTX1
AR 19668381 ChIP-Seq PC3 Human	24/2803	0.153038019822953	0.999996156349101	0	0	1.29414215639855	2.42919398474652	GBP6;EIF1AY;ANXA3;USP9Y;FAM118A;KREMEN1;SLC1A3;ANK2;PARVA;IL27;SYN2;LRP1B;MYOM2;DDO;APOL4;GRIN3A;NOS1AP;EPSTI1;SLITRK5;NRCAM;ROR1;CSMD1;ATF3;SOX5
SUZ12 20075857 ChIP-Seq MESCs Mouse	30/3611	0.154321499482644	0.999996156349101	0	0	1.26291538676347	2.36003169746116	MOXD1;NRN1;BHLHE41;GPR84;CACNA1E;COCH;GRIP1;FFAR3;SLITRK5;NRCAM;OTX1;CSMD1;CORIN;PLLP;FBXO39;PARVA;WNT16;SYN2;LRP1B;GDF7;PKIB;GRIN3A;COL4A4;LYPD6B;COL4A3;NOS1AP;PRR16;ROR1;FGF13;ATF3
BACH1 22875853 ChIP-PCR HELA AND SCP4 Human	11/1127	0.155704691570789	0.999996156349101	0	0	1.45490079869049	2.70581587562854	USP9Y;SLC1A3;SLITRK5;ROR1;UTY;PDCD1LG2;FGF13;SYN2;ATF3;MYOM2;SOX5
HTT 18923047 ChIP-ChIP STHdh Human	4/304	0.158986741998436	0.999996156349101	0	0	1.94646766169154	3.57942646594393	DDX3Y;GBP5;PKIB;USP9Y
CDX2 21402776 ChIP-Seq INTESTINAL-VILLUS Mouse	14/1514	0.161075483495766	0.999996156349101	0	0	1.38208602150538	2.52352624104622	MOXD1;FN1;KREMEN1;CACNA1E;DDO;GRIP1;PKIB;COL4A4;COL4A3;NOS1AP;SLAMF8;OTX1;SRGAP1;ATF3
OCT4 21477851 ChIP-Seq ESCs Mouse	14/1517	0.162791831990432	0.999996156349101	0	0	1.3791020110317	2.5034604341282	MOXD1;FN1;KREMEN1;CACNA1E;DDO;GRIP1;PKIB;COL4A4;COL4A3;NOS1AP;SLAMF8;OTX1;SRGAP1;ATF3
SMAD4 21799915 ChIP-Seq A2780 Human	19/2167	0.163943310655171	0.999996156349101	0	0	1.31670657089652	2.38091435011564	NRN1;KREMEN1;SLC1A3;C4BPA;PDCD1LG2;CACNA1E;LRP1B;PKIB;GRIN3A;NOS1AP;SLC26A8;NRCAM;ROR1;CYYR1;SRGAP1;MOCS1;CSMD1;CORIN;SOX5
SUZ12 27294783 Chip-Seq ESCs Mouse	15/1657	0.169398437651028	0.999996156349101	0	0	1.35319806304031	2.40260548794969	MOXD1;NRN1;SLC1A3;CACNA1E;GDF7;GRIP1;COL4A4;COL4A3;PRR16;TMEM119;SLITRK5;OTX1;CSMD1;ATF3;CORIN
PITX1 30713093 ChIP-Seq Epithelial Human Tongue SCC	2/109	0.173546714701921	0.999996156349101	0	0	2.71509070918087	4.75496134721026	GBP6;SLC1A3
SOX2 16153702 ChIP-ChIP HESCs Human	8/797	0.185950019678778	0.999996156349101	0	0	1.48760846251341	2.50257002629425	C1QA;GRIN3A;SLITRK5;C4BPA;ROR1;OTX1;ATF3;SOX5
SMAD2/3 21741376 ChIP-Seq EPCs Human	14/1567	0.192789737452595	0.999996156349101	0	0	1.33106578318759	2.19114076363835	ANXA3;ANK2;CACNA1E;ARL17B;FHAD1;ETV7;FFAR3;MMP19;SLITRK5;SRGAP1;MOCS1;GBP1;ATF3;C1QC
PHF8 20622853 ChIP-Seq HELA Human	14/1574	0.197192062012373	0.999996156349101	0	0	1.32458643507031	2.1505681911762	GBP6;C1QB;GBP5;C1QA;C4BPA;PARVA;CACNA1E;FHAD1;ROR1;FCGR1A;SRGAP1;GBP1;ATF3;C1QC
NFYA 21822215 ChIP-Seq K562 Human	14/1579	0.200365855531645	0.999996156349101	0	0	1.31999381634546	2.12203566283719	GBP6;C1QB;GBP5;C1QA;C4BPA;PARVA;CACNA1E;FHAD1;GRIP1;ROR1;FCGR1A;GBP1;SOX5;C1QC
GATA6 21074721 ChIP-Seq CACO-2 Human	14/1585	0.204206195831768	0.999996156349101	0	0	1.31452126239708	2.08828138219131	GBP6;C1QB;GBP5;C1QA;OLAH;C4BPA;CACNA1E;FHAD1;NOS1AP;ROR1;FCGR1A;GBP1;ATF3;C1QC
PPAR 26484153 Chip-Seq NCI-H1993 Human	9/945	0.205887620015309	0.999996156349101	0	0	1.41070363744782	2.22951100413658	PLLP;ANKRD22;SLC26A8;BHLHE41;SLC1A3;NRCAM;ROR1;OTX1;SRGAP1
AHR 22903824 ChIP-Seq MCF-7 Human	6/577	0.209035889869074	0.999996156349101	0	0	1.53566311096959	2.40369564003797	LYPD6B;FN1;SLC1A3;NRCAM;SRGAP1;LRP1B
PHC1 16625203 ChIP-ChIP MESCs Mouse	7/700	0.209835607769796	0.999996156349101	0	0	1.47806307348292	2.30789331809252	GRIP1;NRN1;OTX1;WNT16;ATF3;CORIN;GDF7
EZH2 22144423 ChIP-Seq EOC Human	1/34	0.209909409907418	0.999996156349101	0	0	4.38597655385977	6.84685686960981	MYOM2
NFYB 21822215 ChIP-Seq K562 Human	14/1594	0.210030753200801	0.999996156349101	0	0	1.30639036341364	2.03862388023655	GBP6;C1QB;GBP5;C1QA;BHLHE41;C4BPA;PARVA;CACNA1E;FHAD1;ROR1;FCGR1A;GBP1;SOX5;C1QC
TAF2 19829295 ChIP-Seq ESCs Human	14/1595	0.210682611396616	0.999996156349101	0	0	1.30549264450838	2.03317749439623	GBP6;BTNL9;MOXD1;FN1;CLEC18B;GPR84;LYPD6B;PRR16;FFAR3;MMP19;FGF13;CSMD1;CORIN;SOX5
JARID2 20064375 ChIP-Seq MESCs Mouse	9/951	0.210916221011437	0.999996156349101	0	0	1.40127388535032	2.18079453412614	PKIB;LYPD6B;PRR16;SLITRK5;OTX1;CACNA1E;CSMD1;COCH;GDF7
IRF8 22096565 ChIP-ChIP GC-B Mouse	5/463	0.216232236165947	0.999996156349101	0	0	1.59273730176971	2.43912153766724	GBP5;CD274;FBXO39;EPSTI1;GBP1
TAL1 21186366 ChIP-Seq BM-HSCs Mouse	13/1477	0.219287572383985	0.999996156349101	0	0	1.30696174863388	1.98314624056921	MOXD1;NRN1;KREMEN1;SLC1A3;DDO;COCH;GRIP1;PKIB;MMP19;SLITRK5;NRCAM;OTX1;SRGAP1
STAT3 20064451 ChIP-Seq CD4+T Mouse	8/843	0.227173216214188	0.999996156349101	0	0	1.40226623675725	2.07821813880808	GBP6;NRN1;SERPING1;PDCD1LG2;CACNA1E;GBP1;ATF3;SOX5
FLI1 21867929 ChIP-Seq TH2 Mouse	13/1496	0.232606020038826	0.999996156349101	0	0	1.28888469318948	1.8797212397981	MOXD1;NRN1;KREMEN1;SLC1A3;DDO;COCH;GRIP1;PKIB;MMP19;SLITRK5;NRCAM;OTX1;SRGAP1
IRF8 27001747 Chip-Seq BMDM Mouse	13/1500	0.235452213445697	0.999996156349101	0	0	1.28513786146604	1.85862716409877	GBP6;C1QB;CD274;BATF2;C1QA;HPN;IL27;PDCD1LG2;COCH;EPSTI1;SLAMF8;OTX1;ATF3
IRF1 19129219 ChIP-ChIP H3396 Human	2/136	0.241426161815016	0.999996156349101	0	0	2.16505706760316	3.07696091976926	TMEM119;ATF3
CBX2 27304074 Chip-Seq ESCs Mouse	6/609	0.244679081172155	0.999996156349101	0	0	1.45175636966682	2.04379394068049	NRN1;OTX1;CACNA1E;LRP1B;MYOM2;GDF7
EZH2 27294783 Chip-Seq ESCs Mouse	14/1649	0.247199220235931	0.999996156349101	0	0	1.25864654236954	1.75903495261011	MOXD1;NRN1;HPN;HP;COCH;GDF7;GRIP1;PKIB;SLAMF8;SLITRK5;NRCAM;OTX1;CSMD1;ATF3
AR 21572438 ChIP-Seq LNCaP Human	2/141	0.254190079601664	0.999996156349101	0	0	2.08664832839611	2.85802576519336	ARL17A;ROR1
TCF4 18268006 ChIP-ChIP LS174T Human	4/372	0.255559083514076	0.999996156349101	0	0	1.58127839065542	2.15734071659711	COL4A4;COL4A3;SLAMF8;C4BPA
GLI1 17442700 ChIP-ChIP MESCs Mouse	1/44	0.26286241832067	0.999996156349101	0	0	3.36428450178238	4.49510297450611	ROR1
THRA 23701648 ChIP-Seq CEREBELLUM Mouse	2/146	0.266969773862215	0.999996156349101	0	0	2.01368464052288	2.65931187468638	ANK2;MYOM2
TBX2 35687133 ChIP-Seq MCF-7 Human BreastCancer	7/756	0.267318772445296	0.999996156349101	0	0	1.36355853606335	1.79896108707786	PKIB;WDR17;PLLP;LYPD6B;CACNA1E;SRGAP1;SYBU
CTBP1 25329375 ChIP-Seq LNCAP Human	8/885	0.267456543997139	0.999996156349101	0	0	1.33216384527673	1.75685525220158	ANXA3;FFAR3;SLITRK5;XKR3;SYN2;CSMD1;MYOM2;SOX5
RUNX1 26923725 Chip-Seq HPCs Mouse	6/629	0.267823320951555	0.999996156349101	0	0	1.40369181380417	1.84926257048691	FHAD1;GRIP1;NOS1AP;ROR1;CACNA1E;COCH
NR3C1 21868756 ChIP-Seq MCF10A Human	8/887	0.269427800703297	0.999996156349101	0	0	1.32899273650127	1.74291393725977	PRR16;FN1;NRCAM;ROR1;PARVA;CYYR1;SRGAP1;CORIN
SMAD3 21741376 ChIP-Seq ESCs Human	13/1552	0.273681659704463	0.999996156349101	0	0	1.23820142949968	1.6044486265949	GBP5;PLEKHG7;PLLP;RFPL2;HPN;MYOM2;ARL17B;FHAD1;FFAR3;NRCAM;FGF13;SRGAP1;MOCS1
TAL1 26923725 Chip-Seq HPCs Mouse	12/1420	0.274930670146298	0.999996156349101	0	0	1.24824134199134	1.61177455897583	GBP5;WDR17;ANXA3;PLLP;NOS1AP;EPSTI1;SLC26A8;BHLHE41;SLC1A3;ROR1;ATF3;COCH
RAC3 21632823 ChIP-Seq H3396 Human	13/1559	0.278988375940125	0.999996156349101	0	0	1.23212419146184	1.57291145973067	BTNL9;SIGLEC16;C1QA;ANKRD22;FAM118A;FN1;SPDYE4;IL27;GPR84;COCH;ETV7;XKR3;GBP1
TBX3 20139965 ChIP-Seq ESCs Mouse	7/767	0.27911270554187	0.999996156349101	0	0	1.34304941743672	1.71391856812682	NOS1AP;SERPING1;SLC1A3;WNT16;COCH;CORIN;SOX5
TBX3 20139965 ChIP-Seq MESCs Mouse	7/770	0.28235288718827	0.999996156349101	0	0	1.33755865256671	1.69147348510254	NOS1AP;SERPING1;SLC1A3;WNT16;COCH;CORIN;SOX5
FOXM1 32153563 ChIP-Seq SKOV3 Human Ovary OvarianCancer	2/154	0.287411208813389	0.999996156349101	0	0	1.90692724458204	2.37763565485215	IFI27;KIF20A
GATA6 21074721 ChIP-Seq CACO-2 Mouse	13/1575	0.291245644272634	0.999996156349101	0	0	1.21843790012804	1.50305065197605	GBP6;C1QB;GBP5;C1QA;OLAH;C4BPA;CACNA1E;FHAD1;ROR1;FCGR1A;GBP1;ATF3;C1QC
TOP2B 26459242 ChIP-Seq MCF-7 Human	13/1575	0.291245644272634	0.999996156349101	0	0	1.21843790012804	1.50305065197605	FN1;SLC1A3;PARVA;KCNK17;MYOM2;COCH;PRR16;NRCAM;ROR1;FOLR3;MOCS1;CSMD1;CORIN
BMI1 19503595 ChIP-Seq MEFsC Mouse	5/521	0.291255029479057	0.999996156349101	0	0	1.40948300985021	1.73867623166758	IL27;GPR84;FGF13;WNT16;CD177
TP53 20018659 ChIP-ChIP R1E Mouse	8/909	0.291383513930193	0.999996156349101	0	0	1.29503969947921	1.59693283009083	NRN1;KREMEN1;SLITRK5;OTX1;WNT16;CSMD1;ATF3;GDF7
FOXM1 26100407 CHIP-SEQ Hek293 Flp-In Human	13/1577	0.292789770679366	0.999996156349101	0	0	1.21674680306905	1.49453062592451	SIGLEC16;PLLP;HPN;FN1;BHLHE41;KREMEN1;ANK2;GPR84;WNT16;GRIP1;SLITRK5;ROR1;SOX5
RNF2 27304074 Chip-Seq NSC Mouse	7/782	0.295406912113172	0.999996156349101	0	0	1.31602068456045	1.6047576099366	GBP5;NRN1;SLITRK5;OTX1;WNT16;CSMD1;ATF3
P53 21459846 ChIP-Seq SAOS-2 Human	13/1584	0.298214239635277	0.999996156349101	0	0	1.21086187141948	1.4650739976523	C1QB;PLLP;ANKRD22;WNT16;LRP1B;DDO;FHAD1;GRIN3A;LYPD6B;PRR16;FCGR1A;SRGAP1;XKR3
EWS 26573619 Chip-Seq HEK293 Human	6/656	0.299897357718421	0.999996156349101	0	0	1.3434965034965	1.61799299672455	GRIP1;COL4A3;SLITRK5;CSMD1;LRP1B;DDO
GRHL2 25758223 ChIP-Seq PLACENTA Mouse	7/788	0.301985978974173	0.999996156349101	0	0	1.30549989737174	1.56317253480984	GBP6;ARL17B;FBXO39;EPSTI1;BHLHE41;CACNA1E;SYN2
KLF5 25053715 ChIP-Seq YYC3 Human	13/1591	0.303668937676593	0.999996156349101	0	0	1.20502915082383	1.43617445856068	PLEKHG7;RFPL2;FN1;CLEC18B;C4BPA;CACNA1E;SYN2;DDO;GRIN3A;COL4A4;LYPD6B;FCGR1A;CORIN
CTBP2 25329375 ChIP-Seq LNCAP Human	7/790	0.30418615889377	0.999996156349101	0	0	1.30202879900169	1.5495645252122	GRIN3A;IFI27;PRR16;SYN2;CSMD1;MYOM2;SOX5
FOXM1 26456572 ChIP-Seq MCF-7 Human	13/1595	0.306799010863151	0.999996156349101	0	0	1.2017193426043	1.41990643087809	ANXA3;CLEC18B;SLC1A3;KCNK17;GPR84;LRP1B;GDF7;FHAD1;PKIB;LYPD6B;NRCAM;KIF20A;SRGAP1
VDR 24787735 ChIP-Seq THP-1 Human	6/663	0.308338835509884	0.999996156349101	0	0	1.32869793828698	1.56328751208034	NRN1;IFI27;RFPL2;SLC1A3;PDCD1LG2;XKR3
RBPJ 21746931 ChIP-Seq IB4 Human	13/1598	0.309152644090849	0.999996156349101	0	0	1.19924794952681	1.40782130909576	GBP6;C1QB;GBP5;C1QA;FN1;C4BPA;CACNA1E;GDF7;FHAD1;ROR1;FCGR1A;GBP1;C1QC
NR1H3 23393188 ChIP-Seq ATHEROSCLEROTIC-FOAM Human	5/537	0.312791454389984	0.999996156349101	0	0	1.36596189722426	1.58754631074478	C1QB;EPSTI1;SLAMF8;GBP1;C1QC
PHOX2B 30127528 ChIP-Seq KELLY Human BrainNeuroblastoma	15/1877	0.31401711209148	0.999996156349101	0	0	1.17890545178277	1.36553537725886	MOXD1;RFPL2;SLC1A3;ANK2;PDCD1LG2;WNT16;MYOM2;GRIP1;ARL17A;PRR16;NRCAM;FGF13;ATF3;CORIN;SOX5
CEBPD 23245923 ChIP-Seq MEFs Mouse	4/413	0.318642118657938	0.999996156349101	0	0	1.41977155785863	1.62377383507734	LYPD6B;SLC1A3;SLITRK5;MYOM2
STAT3 19079543 ChIP-ChIP MESCs Mouse	6/672	0.319254223615775	0.999996156349101	0	0	1.31012831012831	1.49586199654035	PLLP;COL4A3;FBXO39;NOS1AP;SLC26A8;ATF3
TAL1 26923725 Chip-Seq HEMANGIOBLAST Mouse	9/1070	0.319329727192785	0.999996156349101	0	0	1.23628433027201	1.41125698976233	GRIP1;NRN1;GRIN3A;NOS1AP;KREMEN1;SLC1A3;FGF13;MYOM2;COCH
RNF2 27304074 Chip-Seq ESCs Mouse	10/1205	0.31992532925878	0.999996156349101	0	0	1.22038441422594	1.39083264537061	GRIP1;NRN1;BHLHE41;SLITRK5;NRCAM;OTX1;CACNA1E;CSMD1;ATF3;GDF7
TP63 19390658 ChIP-ChIP HaCaT Human	2/167	0.320479934939358	0.999996156349101	0	0	1.75552584670232	1.997675375369	GRIP1;OTX1
LUZP1 20508642 ChIP-Seq ESCs Mouse	12/1480	0.323575726345327	0.999996156349101	0	0	1.19333073828987	1.34646145405515	BTNL9;GRIP1;PKIB;MOXD1;NRN1;FBXO39;KREMEN1;MMP19;OTX1;SRGAP1;DDO;GDF7
MYCN 19997598 ChIP-ChIP NEUROBLASTOMA Human	2/169	0.325539420513667	0.999996156349101	0	0	1.73432546671363	1.94638441953476	SLAMF8;GPR84
RUNX2 22187159 ChIP-Seq PCA Human	21/2722	0.325578157131879	0.999996156349101	0	0	1.14038485271362	1.27968597809507	GBP6;GBP5;MOXD1;NRN1;PLEKHG7;FN1;BHLHE41;SLC1A3;ANK2;CACNA1E;LRP1B;MYOM2;VSIG10;ETV7;GRIP1;FFAR3;SLITRK5;ROR1;SRGAP1;MOCS1;CSMD1
CEBPB 26923725 Chip-Seq MESODERM Mouse	7/814	0.330832935276498	0.999996156349101	0	0	1.26171760454799	1.3956385295527	FHAD1;LYPD6B;SLC1A3;SLITRK5;NRCAM;SRGAP1;CSMD1
