Term	P.value	Genes
GATA6 21074721 ChIP-Seq CACO-2 Human	0.204206195831768	GBP6;C1QB;GBP5;C1QA;OLAH;C4BPA;CACNA1E;FHAD1;NOS1AP;ROR1;FCGR1A;GBP1;ATF3;C1QC
PPAR 26484153 Chip-Seq NCI-H1993 Human	0.205887620015309	PLLP;ANKRD22;SLC26A8;BHLHE41;SLC1A3;NRCAM;ROR1;OTX1;SRGAP1
AHR 22903824 ChIP-Seq MCF-7 Human	0.209035889869074	LYPD6B;FN1;SLC1A3;NRCAM;SRGAP1;LRP1B
EZH2 22144423 ChIP-Seq EOC Human	0.209909409907418	MYOM2
NFYB 21822215 ChIP-Seq K562 Human	0.210030753200801	GBP6;C1QB;GBP5;C1QA;BHLHE41;C4BPA;PARVA;CACNA1E;FHAD1;ROR1;FCGR1A;GBP1;SOX5;C1QC
TAF2 19829295 ChIP-Seq ESCs Human	0.210682611396616	GBP6;BTNL9;MOXD1;FN1;CLEC18B;GPR84;LYPD6B;PRR16;FFAR3;MMP19;FGF13;CSMD1;CORIN;SOX5
IRF1 19129219 ChIP-ChIP H3396 Human	0.241426161815016	TMEM119;ATF3
AR 21572438 ChIP-Seq LNCaP Human	0.254190079601664	ARL17A;ROR1
TCF4 18268006 ChIP-ChIP LS174T Human	0.255559083514076	COL4A4;COL4A3;SLAMF8;C4BPA
TBX2 35687133 ChIP-Seq MCF-7 Human BreastCancer	0.267318772445296	PKIB;WDR17;PLLP;LYPD6B;CACNA1E;SRGAP1;SYBU
CTBP1 25329375 ChIP-Seq LNCAP Human	0.267456543997139	ANXA3;FFAR3;SLITRK5;XKR3;SYN2;CSMD1;MYOM2;SOX5
NR3C1 21868756 ChIP-Seq MCF10A Human	0.269427800703297	PRR16;FN1;NRCAM;ROR1;PARVA;CYYR1;SRGAP1;CORIN
SMAD3 21741376 ChIP-Seq ESCs Human	0.273681659704463	GBP5;PLEKHG7;PLLP;RFPL2;HPN;MYOM2;ARL17B;FHAD1;FFAR3;NRCAM;FGF13;SRGAP1;MOCS1
RAC3 21632823 ChIP-Seq H3396 Human	0.278988375940125	BTNL9;SIGLEC16;C1QA;ANKRD22;FAM118A;FN1;SPDYE4;IL27;GPR84;COCH;ETV7;XKR3;GBP1
FOXM1 32153563 ChIP-Seq SKOV3 Human Ovary OvarianCancer	0.287411208813389	IFI27;KIF20A
TOP2B 26459242 ChIP-Seq MCF-7 Human	0.291245644272634	FN1;SLC1A3;PARVA;KCNK17;MYOM2;COCH;PRR16;NRCAM;ROR1;FOLR3;MOCS1;CSMD1;CORIN
FOXM1 26100407 CHIP-SEQ Hek293 Flp-In Human	0.292789770679366	SIGLEC16;PLLP;HPN;FN1;BHLHE41;KREMEN1;ANK2;GPR84;WNT16;GRIP1;SLITRK5;ROR1;SOX5
P53 21459846 ChIP-Seq SAOS-2 Human	0.298214239635277	C1QB;PLLP;ANKRD22;WNT16;LRP1B;DDO;FHAD1;GRIN3A;LYPD6B;PRR16;FCGR1A;SRGAP1;XKR3
EWS 26573619 Chip-Seq HEK293 Human	0.299897357718421	GRIP1;COL4A3;SLITRK5;CSMD1;LRP1B;DDO
KLF5 25053715 ChIP-Seq YYC3 Human	0.303668937676593	PLEKHG7;RFPL2;FN1;CLEC18B;C4BPA;CACNA1E;SYN2;DDO;GRIN3A;COL4A4;LYPD6B;FCGR1A;CORIN
CTBP2 25329375 ChIP-Seq LNCAP Human	0.30418615889377	GRIN3A;IFI27;PRR16;SYN2;CSMD1;MYOM2;SOX5
FOXM1 26456572 ChIP-Seq MCF-7 Human	0.306799010863151	ANXA3;CLEC18B;SLC1A3;KCNK17;GPR84;LRP1B;GDF7;FHAD1;PKIB;LYPD6B;NRCAM;KIF20A;SRGAP1
VDR 24787735 ChIP-Seq THP-1 Human	0.308338835509884	NRN1;IFI27;RFPL2;SLC1A3;PDCD1LG2;XKR3
RBPJ 21746931 ChIP-Seq IB4 Human	0.309152644090849	GBP6;C1QB;GBP5;C1QA;FN1;C4BPA;CACNA1E;GDF7;FHAD1;ROR1;FCGR1A;GBP1;C1QC
NR1H3 23393188 ChIP-Seq ATHEROSCLEROTIC-FOAM Human	0.312791454389984	C1QB;EPSTI1;SLAMF8;GBP1;C1QC
PHOX2B 30127528 ChIP-Seq KELLY Human BrainNeuroblastoma	0.31401711209148	MOXD1;RFPL2;SLC1A3;ANK2;PDCD1LG2;WNT16;MYOM2;GRIP1;ARL17A;PRR16;NRCAM;FGF13;ATF3;CORIN;SOX5
TP63 19390658 ChIP-ChIP HaCaT Human	0.320479934939358	GRIP1;OTX1
MYCN 19997598 ChIP-ChIP NEUROBLASTOMA Human	0.325539420513667	SLAMF8;GPR84
RUNX2 22187159 ChIP-Seq PCA Human	0.325578157131879	GBP6;GBP5;MOXD1;NRN1;PLEKHG7;FN1;BHLHE41;SLC1A3;ANK2;CACNA1E;LRP1B;MYOM2;VSIG10;ETV7;GRIP1;FFAR3;SLITRK5;ROR1;SRGAP1;MOCS1;CSMD1
ESR1 20056654 ChIP-Seq MCF-7 Human BreastCancer	0.345422879739634	PKIB;WDR17;LYPD6B;HPN;WNT16;SRGAP1;SYBU
RELA 24523406 ChIP-Seq FIBROSARCOMA Human	0.352461879389704	CD274;PLLP;FN1;SLITRK5;C4BPA;NRCAM;IL27;SRGAP1;GBP1
CUX1 19635798 ChIP-ChIP MULTIPLE CANCER TYPES Human	0.366126954474386	C1QB;ANXA3;SLC1A3;C4BPA;GPR84;CACNA1E;PKIB;APOL4;KIF20A;FCGR1A;MOCS1;GBP1;SOX5
HOXB13 26457646 ChIP-Seq LNCaP Human Prostate Carcinoma	0.394162444550815	KDM5D;EIF1AY;COL4A3;HPN;FN1;ROR1;SYBU;ATF3;DDO;CD177;SOX5
NFKB1 27076634 ChIP-Seq BEAS2B Human Lung Inflammation	0.39580496337843	BHLHE41;CACNA1E;MYOM2;GRIP1;EPSTI1;NRCAM;CYYR1;GBP1;CSMD1;CORIN;SOX5;OLAH;WDR17;ANXA3;PLLP;FBXO39;FN1;ANK2;PARVA;SEPTIN4;LRP1B;PKIB;COL4A4;LYPD6B;PRR16;SLC26A8;ROR1;XKR3
FOXA2 19822575 ChIP-Seq HepG2 Human	0.398976907277186	GBP6;PLLP;FN1;KREMEN1;C4BPA;ANK2;CACNA1E;COCH;FHAD1;GRIN3A;CASP5;COL4A4;LYPD6B;NOS1AP;NRCAM;SRGAP1;CSMD1;CORIN;SOX5
MYC 19829295 ChIP-Seq ESCs Human	0.401518375441899	ARL17B;DDX3Y;C1QB;GRIP1;MOXD1;CASP5;ANKRD22;LYPD6B;HPN;MMP19;PDCD1LG2;LRP1B
ESR1 21235772 ChIP-Seq MCF-7 Human	0.402351354679718	PKIB;ATF3
GATA3 21878914 ChIP-Seq MCF-7 Human	0.403237626906085	BTNL9;ETV7;ARL17A;PKIB;IFI27;SLAMF8;NRCAM;FOLR3;WNT16;SYN2;ATF3;COCH
STAT6 20620947 ChIP-Seq CD4 POS T Human	0.406122730257189	PLLP;NRCAM;MYOM2
HNFA 21074721 ChIP-Seq CACO-2 Human	0.406677659229673	GBP6;FHAD1;C1QB;GBP5;C1QA;C4BPA;ROR1;FCGR1A;CACNA1E;GBP1;ATF3;C1QC
EWS-FLI1 20517297 ChIP-Seq SK-N-MC Human	0.40784353842929	ARL17B;XKR3;MYOM2;DDO
FOXH1 21741376 ChIP-Seq EPCs Human	0.413562915156299	ETV7;ANXA3;FN1;CLEC18B;ROR1;KCNK17;WNT16;FCGR1A;MOCS1;GBP1;MYOM2;C1QC
SALL1 21062744 ChIP-ChIP HESCs Human	0.413838255269536	SOX5
OCT1 27270436 Chip-Seq PROSTATE Human	0.417868956429793	GRIP1;ARL17A;ANXA3;BHLHE41;MMP19;ANK2;GPR84;FCGR1A;SRGAP1;XKR3;LRP1B;CORIN
VDR 24763502 ChIP-Seq THP-1 Human	0.421879773979523	SIGLEC16;IFI27;ANXA3;RFPL2;SLC1A3;GPR84;OTX1;PDCD1LG2
EGR1 19032775 ChIP-ChIP M12 Human	0.426286891635898	C1QB;APOL4
TCF4 23295773 ChIP-Seq U87 Human	0.436063682712762	BTNL9;C1QB;CD274;MOXD1;BATF2;PLLP;FN1;IL27;LRP1B;DDO;FHAD1;GRIP1;COL4A4;LYPD6B;EPSTI1;TMEM119;MMP19;NRCAM;ROR1;MOCS1;CSMD1;CORIN;SOX5
PPARD 23208498 ChIP-Seq MDA-MB-231 Human	0.448216292564044	PLLP;SLC26A8;NRCAM
GATA3 30127528 ChIP-Seq BE2C Human Brain Neuroblastoma	0.454714578042986	MOXD1;RFPL2;NRCAM;ANK2;SYBU;SOX5
RUNX 20019798 ChIP-Seq JUKART Human	0.461703454849324	GBP5;NRN1;ANK2;GPR84
MYC 20876797 ChIP-ChIP MEDULLOBLASTOMA Human	0.476631887277342	BTNL9;PKIB;NRN1;PARVA;RPS4Y1;ZFY;FCGR1A;XKR3
AUTS2 25519132 ChIP-Seq 293T-REX Human	0.487463626430612	ARL17B;GBP5;SLC1A3;KIF20A;FOLR3;LRP1B
TRIM28 17542650 ChIP-ChIP NTERA2 Human	0.490805873351246	C1QA;RFPL2;USP9Y;PARVA;MYOM2
SMAD 19615063 ChIP-ChIP OVARY Human	0.500483918197201	EPSTI1
VDR 22108803 ChIP-Seq LS180 Human	0.510804453250234	XKR3
ARNT 22903824 ChIP-Seq MCF-7 Human	0.531310651914736	LYPD6B;FN1;SLC1A3;NRCAM;SRGAP1;LRP1B
TBL1 22424771 ChIP-Seq 293T Human	0.532338408856914	FHAD1;C1QB;C1QA;C4BPA;ROR1;PARVA;FCGR1A;CACNA1E;SRGAP1;ATF3;SOX5
FOXH1 21741376 ChIP-Seq ESCs Human	0.54100495879183	ARL17B;FHAD1;C1QB;C1QA;HP;FFAR3;PDCD1LG2;GBP1;DDO;CD177;C1QC
RUNX2 22187159 ChIP-Seq C42B Human ProstateCancer	0.562375024589924	HPN
ARID1A 32646524 ChIP-Seq H9 Human BoneMarrow Lymphoma	0.562375024589924	HPN
TBX2 33478486 ChIP-Seq IMR90 Human Lung	0.565217308693798	NRN1;ANXA3;RFPL2;HPN;FBXO39;BHLHE41;KREMEN1;CACNA1E;VSIG10;GDF7;GRIN3A;CYYR1;FGF13;CSMD1;SYBU;ATF3
CDX2 22108803 ChIP-Seq LS180 Human	0.566675566494411	GRIP1;ANKRD22;RFPL2;COL4A3;EPSTI1;BHLHE41;WNT16;SRGAP1;XKR3;ATF3;CD177
CREB1 26743006 Chip-Seq LNCaP-abl Human	0.572587681934425	DDX3Y;IFI27;RFPL2;FAM118A;BHLHE41;PARVA;KCNK17;UTY;CACNA1E;SRGAP1;CD177
ATF3 27146783 Chip-Seq COLON Human	0.574271089627778	NRN1;ANXA3;LYPD6B;RFPL2;BHLHE41;SLC1A3;ANK2;PDCD1LG2;ATF3;VSIG10;COCH
TCF21 26020271 ChIP-Seq SMOOTH MUSCLE Human	0.575111816949575	MOXD1;COL4A4;SLAMF8;FN1;TMEM119;BHLHE41;MMP19;PARVA;GPR84;SRGAP1;ATF3
SA1 27219007 Chip-Seq Bcells Human	0.578468146145182	FHAD1;C1QB;GBP5;BATF2;C1QA;IFI27;KREMEN1;SPDYE4;ROR1;CACNA1E;C1QC
IKZF1 21737484 ChIP-ChIP HCT116 Human	0.580289936561721	COCH
GATA2 21666600 ChIP-Seq HMVEC Human	0.581359182095995	ANXA3;HPN;SLC26A8;PDCD1LG2
ERG 21242973 ChIP-ChIP JURKAT Human	0.583826847422092	NRN1;CSMD1
CTNNB1 24651522 ChIP-Seq LGR5+ INTESTINAL STEM Human	0.58609825681532	IFI27
CTCF 21964334 Chip-Seq Bcells Human	0.589301559569418	LYPD6B;RFPL2;HP;SLITRK5;PARVA;IL27;KIF20A;SRGAP1;CSMD1;COCH;C1QC
SA1 27219007 Chip-Seq ERYTHROID Human	0.589301559569418	GBP5;IFI27;HPN;FAM118A;TMEM119;BHLHE41;SLITRK5;IL27;CACNA1E;SRGAP1;C1QC
AR 35413990 ChIP-Seq Human ARposCRProstateCancer	0.589423886925272	FHAD1;PRR16;SEPTIN4;SYBU
TCF3/E2A 22897851 ChIP-Seq JUKARTE6-1 Human	0.592803038144096	GRIP1;NRN1;FN1;SLITRK5;PARVA;PDCD1LG2;SRGAP1;XKR3;MOCS1;MYOM2
ESR1 22217937 ChIP-Seq MCF-7 Human BreastCancer	0.603048718167586	HPN
PAX3-FKHR 20663909 ChIP-Seq RHABDOMYOSARCOMA Human	0.611830416019868	GRIP1;SLITRK5;ANK2;CACNA1E;LRP1B;SOX5
SOX11 23321250 ChIP-ChIP Z138-A519-JVM2 Human	0.621017470038758	NRN1;SLITRK5;SRGAP1;ATF3;SOX5
FOXA1 27197147 Chip-Seq ENDOMETRIOID-ADENOCARCINOMA Human	0.621309071028151	FHAD1;MOXD1;C4BPA
ISL1 30127528 ChIP-Seq BE2C Human Brain Neuroblastoma	0.624446340849859	WDR17;RFPL2;NRCAM;SYBU;SOX5
SOX2 30713093 ChIP-Seq Epithelial Human Tongue SCC	0.64002346040487	GBP6;IFI27;ANKRD22;SLC1A3;KIF20A;MYOM2
FOXM1 26456572 ChIP-Seq MCF-7 Human BreastCancer	0.644263216386144	PKIB;KIF20A;SYBU
PHOX2B 30127528 ChIP-Seq BE2C Human Brain Neuroblastoma	0.64463330450202	RFPL2;PRR16;NRCAM;PDCD1LG2;CORIN
CJUN 26792858 Chip-Seq BT549 Human	0.645405963044145	GRIP1;PLEKHG7;PLLP;EPSTI1;PRR16;FN1;SLC1A3;ROR1;CACNA1E;LRP1B
IRF8 22096565 ChIP-ChIP GC-B Human	0.647423097078513	EPSTI1
VDR 21846776 ChIP-Seq THP-1 Human	0.649386753013246	IFI27;RFPL2;OTX1;MYOM2
NCOR 22424771 ChIP-Seq 293T Human	0.651824180901477	GBP5;PKIB;PLEKHG7;HPN;FFAR3;ROR1;IL27;GBP1;CORIN;CD177
ISL1 30127528 ChIP-Seq KELLY Human Brain Neuroblastoma	0.652308489114134	ARL17A
JUND 26020271 ChIP-Seq SMOOTH MUSCLE Human	0.652622065919828	FHAD1;ETV7;CD274;PLEKHG7;ANXA3;EPSTI1;PRR16;TMEM119;FCGR1A;ATF3
HOXB7 26014856 ChIP-Seq BT474 Human	0.652622065919828	FHAD1;KDM5D;EIF1AY;KREMEN1;C4BPA;GPR84;OTX1;FOLR3;DDO;GDF7
NR3C1 27076634 ChIP-Seq BEAS2B Human Lung Inflammation	0.654763782467073	ANXA3;PLLP;FN1;BHLHE41;SLC1A3;SEPTIN4;MYOM2;FHAD1;GRIP1;COL4A3;NOS1AP;EPSTI1;PRR16;SLAMF8;TMEM119;NRCAM;MOCS1;GBP1;SYBU;SOX5
SMAD3 21741376 ChIP-Seq EPCs Human	0.657271608795623	FHAD1;ETV7;OLAH;MMP19;SLITRK5;FGF13;ATF3;LRP1B
GATA3 30127528 ChIP-Seq KELLY Human Brain Neuroblastoma	0.661620114222815	ARL17A;RFPL2;TMEM119;PDCD1LG2;FGF13;SRGAP1;SYBU;ATF3
JUN 26020271 ChIP-Seq SMOOTH MUSCLE Human	0.663688364074448	FHAD1;ETV7;CD274;IFI27;PLEKHG7;ANXA3;EPSTI1;PRR16;TMEM119;ATF3
GATA3 22897851 ChIP-Seq JUKARTE6-1 Human	0.663688364074448	GBP6;ETV7;GRIP1;ARL17A;ROR1;FOLR3;GBP1;CORIN;CD177;GDF7
NANOG 21062744 ChIP-ChIP HESCs Human	0.664924179819436	GBP5;SLC1A3;SLITRK5;ROR1
CBP 21632823 ChIP-Seq H3396 Human	0.668370787617557	GRIP1;BATF2;OLAH;PLEKHG7;ANKRD22;BHLHE41;MMP19;PARVA;SRGAP1;SOX5
ZNF217 24962896 ChIP-Seq MCF-7 Human	0.671926021561566	GRIP1;PKIB;LYPD6B;NOS1AP;FN1;NRCAM;SRGAP1;LRP1B
P63 20808887 ChIP-Seq KERATINOCYTES Human	0.672244767824276	ETV7;CD274;LYPD6B;EPSTI1;FAM118A;BHLHE41;C4BPA;CACNA1E;SRGAP1;XKR3
EOMES 21245162 ChIP-Seq HESCs Human	0.672590659054799	MOXD1;PLLP;EPSTI1;FN1;COCH
ESR1 20079471 ChIP-ChIP T-47D Human	0.686868848080278	MYOM2
YY1 22570637 ChIP-Seq MALME-3M Human	0.692097925409824	FAM118A;MMP19;ROR1;GPR84;SRGAP1
P63 26484246 Chip-Seq KERATINOCYTES Human	0.694200556465317	GBP6;ARL17B;FHAD1;ARL17A;ANKRD22;NOS1AP;BHLHE41;PARVA;CACNA1E;CD177
CTCF 27219007 Chip-Seq Bcells Human	0.69863176443378	GBP6;C1QA;LYPD6B;NOS1AP;TMEM119;BHLHE41;ROR1;PARVA;CACNA1E;C1QC
WT1 19549856 ChIP-ChIP CCG9911 Human	0.699717864401991	ATF3
AR 25329375 ChIP-Seq VCAP Human	0.701319131083825	CD274;FN1;SLITRK5;CYYR1;CACNA1E;LRP1B;CORIN;SOX5;GDF7
TP53 18474530 ChIP-ChIP U2OS Human	0.702255429430796	NOS1AP;EPSTI1;SRGAP1;CSMD1
ATF3 23680149 ChIP-Seq GBM1-GSC Human	0.712406602216485	GBP5;ANXA3;NOS1AP;FN1;SLC1A3;GPR84;FOLR3;SYN2;GBP1;ATF3
FOXA1 26769127 Chip-Seq PDAC-Cell Line Human	0.716674460229087	GBP6;FHAD1;PLEKHG7;ANKRD22;BHLHE41;NRCAM;ROR1;GBP1;ATF3;SOX5
KLF6 26769127 Chip-Seq PDAC-Cell Line Human	0.722303057805216	GBP6;NRN1;IFI27;BHLHE41;ROR1;PARVA;WNT16;ATF3;SOX5;C1QC
TAF15 26573619 Chip-Seq HEK293 Human	0.723866328420919	SLITRK5
P53 22127205 ChIP-Seq FIBROBLAST Human	0.729654523267213	GBP5;XKR3;ATF3
NANOG 16153702 ChIP-ChIP HESCs Human	0.743371704121484	PKIB;SLC26A8;SLITRK5;ROR1;OTX1;SOX5
POU2F1 35413990 ChIP-Seq Human ARposCRProstateCancer	0.748249970984204	GRIP1;FN1;ATF3;COCH
KDM2B 26808549 Chip-Seq REH Human	0.750295481012458	GRIP1;ANK2;CYYR1;CACNA1E;SRGAP1;CSMD1;COCH;SOX5
FOSL1 28411283 ChIP-Seq MDA231-LM2-4175 Human BreastCancer	0.757751300832173	FHAD1;ANKRD22;SLC26A8;BHLHE41;MMP19;ANK2;PDCD1LG2
CEBPB 22108803 ChIP-Seq LS180 Human	0.761210034213732	COL4A4;ANKRD22;FAM118A;BHLHE41;IL27;GPR84;FCGR1A;LRP1B;CD177
BRD4 28847988 ChIP-Seq BCBL1 Human Blood Lymphoma	0.761576850867146	SRGAP1
FOXO3 23340844 ChIP-Seq DLD1 Human	0.763397800460821	EIF1AY;KREMEN1;VSIG10
OCT4 20526341 ChIP-Seq ESCs Human	0.769693279322924	GBP6;ANXA3;PLLP;HPN;TMEM119;ROR1;IL27;GPR84;MYOM2
TCF4 22108803 ChIP-Seq LS180 Human	0.770337063093284	C1QA;OLAH;SPDYE4;SLITRK5;GPR84;FCGR1A;CACNA1E;SRGAP1;XKR3
UBF1/2 26484160 Chip-Seq FIBROBLAST Human	0.772899669935969	GBP5;GRIN3A;ANXA3;EPSTI1;SLC1A3;FGF13;SYN2;COCH;GDF7
DROSHA 22980978 ChIP-Seq HELA Human	0.776858964598221	C1QB;ROR1
CTCF 20526341 ChIP-Seq ESCs Human	0.777964781749921	BTNL9;C1QA;ANXA3;FFAR3;IL27;GPR84;SRGAP1;CD177;C1QC
WDR5 24793694 ChIP-Seq LNCAP Human	0.779447325575464	GPR84;CYYR1;ZFY
GATA4 25053715 ChIP-Seq YYC3 Human	0.784798647335631	BATF2;APOL4;ANXA3;PLLP;SLC1A3;GPR84;SRGAP1;ATF3;VSIG10
FOXA1 33576154 ChIP-Seq Human HilarLN ProstateCancer	0.792010393169845	GRIP1;SRGAP1;SYBU;ATF3
FOXM1 23109430 ChIP-Seq U2OS Human	0.792723004220303	KIF20A
NFE2L2 22581777 ChIP-Seq LYMPHOBLASTOID Human	0.794806612609737	CD274;TMEM119
XRN2 22483619 ChIP-Seq HELA Human	0.797968434142001	ARL17B;ARL17A;PKIB;SLC1A3;KIF20A;GPR84;MYOM2
FUS 26573619 Chip-Seq HEK293 Human	0.798027516734918	LRP1B;SOX5
EBNA2 21746931 ChIP-Seq IB4-LCL Human	0.803158914792317	CD274;SLAMF8;KCNK17;PDCD1LG2;MYOM2;CD177
AR 21909140 ChIP-Seq LNCAP Human	0.809435004152037	KIF20A
TP63 23658742 ChIP-Seq EP156T Human	0.817088842417237	GBP5;OLAH;PLEKHG7;ANKRD22;FN1;CLEC18B;SLC1A3;ANK2;PARVA;PDCD1LG2;CACNA1E;LYPD6B;EPSTI1;SERPING1;CYYR1;SRGAP1;ATF3
KDM2B 26808549 Chip-Seq K562 Human	0.825309385432792	BTNL9;FHAD1;NRN1;ANXA3;BHLHE41;GPR84;WNT16;SRGAP1;VSIG10
ELF3 26769127 Chip-Seq PDAC-Cell Line Human	0.828971547750891	FHAD1;GBP5;IFI27;PRR16;SLITRK5;ROR1;GBP1;ATF3;SOX5
RBPJ 21746931 ChIP-Seq IB4-LCL Human	0.833630853437008	CD274;SLAMF8;FN1;FFAR3;IL27;KCNK17;PDCD1LG2;CD177
PRDM14 20953172 ChIP-Seq ESCs Human	0.843912714782525	GRIP1;NRN1;SLC1A3;SLITRK5;CACNA1E;MOCS1;MYOM2
JUN 21703547 ChIP-Seq K562 Human	0.845653120013423	SLC1A3;SLITRK5;CYYR1;FGF13;XKR3;COCH
BCAT 22108803 ChIP-Seq LS180 Human	0.84883627693963	C1QA;XKR3
ELF5 23300383 ChIP-Seq T47D Human	0.849626155060163	SIGLEC16;ANXA3;SLITRK5;GPR84
TP53 22573176 ChIP-Seq HFKS Human	0.849894616358186	PLEKHG7;COL4A3;NOS1AP;CLEC18B;CYYR1
NRF2 31884422 ChIP-Seq A549 Human Lung Carcinoma	0.853856074108779	COL4A4;COL4A3;NRCAM;CYYR1;SRGAP1;LRP1B;MYOM2;CD177
ERA 21632823 ChIP-Seq H3396 Human	0.859065098474483	ARL17A;IFI27;ANXA3;ANKRD22;KREMEN1;SLC1A3;PARVA;MYOM2
