Description	pvalue	Gene
peptidyl-cysteine modification	0.0219639483199577	NOS1AP, ZDHHC11B
phagocytosis, recognition	0.00949273280655612	C4BPA, FCGR1A
positive regulation of acute inflammatory response	0.00886719292968831	FCGR1A, FFAR3
positive regulation of cation channel activity	0.00197898885564534	NOS1AP, FGF13, ANK2
positive regulation of inflammatory response	0.00772826373586464	FCGR1A, FFAR3, CASP5, NAIP
positive regulation of ion transmembrane transporter activity	0.00871716714602699	NOS1AP, FGF13, ANK2
positive regulation of myeloid leukocyte mediated immunity	0.00504119111369413	FCGR1A, CD177
positive regulation of potassium ion transmembrane transport	0.015167935911691	NOS1AP, ANK2
positive regulation of potassium ion transmembrane transporter activity	0.00504119111369413	NOS1AP, ANK2
positive regulation of potassium ion transport	0.0210565158259494	NOS1AP, ANK2
positive regulation of transporter activity	0.0115310624212169	NOS1AP, FGF13, ANK2
potassium ion transmembrane transport	0.00501454607891842	NOS1AP, HPN, SLC1A3, ANK2, KCNK17
potassium ion transport	0.00774249285089736	NOS1AP, HPN, SLC1A3, ANK2, KCNK17
pyroptosis	3.63899319690906e-05	IFI27, GBP5, GBP1, NAIP
regulation of actin filament-based movement	0.0175904214716286	FGF13, ANK2
regulation of action potential	0.00336639225128159	NOS1AP, FGF13, ANK2
regulation of activated T cell proliferation	0.0210565158259494	PDCD1LG2, CD274
regulation of acute inflammatory response	0.0247814802394852	FCGR1A, FFAR3
regulation of adaptive immune response	0.0212953276323249	C4BPA, FCGR1A, IL27, CD274
regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	0.0166485084585252	C4BPA, FCGR1A, IL27, CD274
regulation of cardiac conduction	0.00886719292968831	CORIN, ANK2
regulation of cardiac muscle cell action potential	0.000422404591972879	NOS1AP, FGF13, ANK2
regulation of cardiac muscle cell contraction	0.0129030025440103	FGF13, ANK2
regulation of cardiac muscle cell membrane repolarization	0.00949273280655612	NOS1AP, ANK2
regulation of cation channel activity	0.0213370885469618	NOS1AP, FGF13, ANK2
regulation of cell morphogenesis	0.00841938185580149	FN1, HPN, COCH, GRIP1, PARVA
regulation of cell shape	0.00567357452898997	FN1, HPN, COCH, PARVA
regulation of cell size	0.015528257620518	FN1, FGF13, PRR16, NRCAM
regulation of complement activation	0.00552704275798142	C4BPA, SERPING1
regulation of extent of cell growth	0.0181254574021939	FN1, FGF13, NRCAM
regulation of heart contraction	0.021630609520937	NOS1AP, CORIN, FGF13, ANK2
regulation of hormone metabolic process	0.0167657438313606	HPN, FFAR3
regulation of humoral immune response	0.022887374589126	C4BPA, SERPING1
regulation of immune effector process	0.00348957345880948	C4BPA, SERPING1, FCGR1A, CD177, IL27, FFAR3, SLAMF8
regulation of membrane potential	0.00767587119764734	NOS1AP, FGF13, INSYN2B, GRIN3A, ANK2, KCNK17, NRCAM
regulation of membrane repolarization	0.0167657438313606	NOS1AP, ANK2
regulation of myotube differentiation	0.0238266122283727	TMEM119, BHLHE41
regulation of oxidoreductase activity	0.00588957094403392	NOS1AP, HP, SLAMF8
regulation of type II interferon production	0.022802844490167	PDCD1LG2, IL27, CD274
regulation of ventricular cardiac muscle cell membrane repolarization	0.00656032784382493	NOS1AP, ANK2
response to protozoan	0.00046761435135412	BATF2, GBP6, GBP1
sensory perception of mechanical stimulus	0.00254275258128487	HPN, SLC1A3, COL4A3, COCH, ROR1
sensory perception of sound	0.00138481810378991	HPN, SLC1A3, COL4A3, COCH, ROR1
sodium ion homeostasis	0.0238266122283727	CORIN, SLC1A3
startle response	0.00886719292968831	GRIN3A, CSMD1
substrate adhesion-dependent cell spreading	0.0148109523967462	FN1, GBP1, PARVA
synapse organization	0.00362911042355285	C1QC, NOS1AP, C1QB, C1QA, FGF13, SYBU, SLITRK5, NRCAM
synapse pruning	4.44709476856476e-05	C1QC, C1QB, C1QA
type II interferon production	0.022802844490167	PDCD1LG2, IL27, CD274
ventricular cardiac muscle cell action potential	0.0136401486992465	NOS1AP, ANK2
ventricular cardiac muscle cell membrane repolarization	0.00949273280655612	NOS1AP, ANK2
