category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Endocrine and metabolic disease	hsa04936	Alcoholic liver disease	3/45	144/8541	0.0208333333333333	3.95416666666667	2.60184908923938	0.0398029391239971	0.233510576194116	0.201109587152828	714/713/712	3
Cellular Processes	Transport and catabolism	hsa04148	Efferocytosis	3/45	157/8541	0.0191082802547771	3.62675159235669	2.41752590214887	0.0493124570131884	0.271218513572536	0.23358532269405	714/713/712	3
Human Diseases	Neurodegenerative disease	hsa05020	Prion disease	4/45	278/8541	0.0143884892086331	2.73093525179856	2.13531664132999	0.057712729048263	0.298748244485126	0.257295138791017	714/713/712/116443	4
Human Diseases	Cancer: overview	hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	2/45	90/8541	0.0222222222222222	4.21777777777778	2.23332121950039	0.0812305815426345	0.384870557048903	0.331467465400969	116071/29126	2
Human Diseases	Cancer: overview	hsa05202	Transcriptional misregulation in cancer	3/45	198/8541	0.0151515151515152	2.87575757575758	1.94346231074195	0.0857515700341288	0.384870557048903	0.331467465400969	2209/51513/51384	3
Metabolism	Lipid metabolism	hsa00061	Fatty acid biosynthesis	1/45	18/8541	0.0555555555555556	10.5444444444444	2.94997681758926	0.0907929162350793	0.384870557048903	0.331467465400969	55301	1
Human Diseases	Cancer: overview	hsa05205	Proteoglycans in cancer	3/45	204/8541	0.0147058823529412	2.79117647058824	1.8844147671742	0.0918441102048519	0.384870557048903	0.331467465400969	2335/287/51384	3
Human Diseases	Infectious disease: viral	hsa05165	Human papillomavirus infection	4/45	333/8541	0.012012012012012	2.27987987987988	1.73380637355106	0.0970796557823359	0.388318623129343	0.334437091690344	2335/1285/51384/1286	4
Organismal Systems	Digestive system	hsa04974	Protein digestion and absorption	2/45	105/8541	0.019047619047619	3.6152380952381	1.96230060701453	0.105472909349688	0.40354852272924	0.347553751632838	1285/1286	2
Organismal Systems	Nervous system	hsa04724	Glutamatergic synapse	2/45	116/8541	0.0172413793103448	3.27241379310345	1.79332662716675	0.124345251572915	0.455932589100687	0.392669215493415	6507/116443	2
Metabolism	Metabolism of cofactors and vitamins	hsa00790	Folate biosynthesis	1/45	28/8541	0.0357142857142857	6.77857142857143	2.22887711577909	0.13769705642984	0.472738452292883	0.407143164654157	4337	1
Human Diseases	Drug resistance: antineoplastic	hsa01523	Antifolate resistance	1/45	30/8541	0.0333333333333333	6.32666666666667	2.12693291777528	0.146789818350987	0.472738452292883	0.407143164654157	2352	1
Organismal Systems	Endocrine system	hsa04926	Relaxin signaling pathway	2/45	130/8541	0.0153846153846154	2.92	1.6053769708732	0.14943322939051	0.472738452292883	0.407143164654157	1285/1286	2
NA	NA	hsa04981	Folate transport and metabolism	1/45	31/8541	0.032258064516129	6.12258064516129	2.07937496783572	0.151300975462279	0.472738452292883	0.407143164654157	2352	1
Cellular Processes	Cell growth and death	hsa04215	Apoptosis - multiple species	1/45	32/8541	0.03125	5.93125	2.03385828191192	0.155788808141973	0.472738452292883	0.407143164654157	5414	1
Organismal Systems	Environmental adaptation	hsa04710	Circadian rhythm	1/45	34/8541	0.0294117647058824	5.58235294117647	1.94835333292239	0.164694971102224	0.483105248566524	0.416071505942461	79365	1
Cellular Processes	Cellular community - eukaryotes	hsa04550	Signaling pathways regulating pluripotency of stem cells	2/45	144/8541	0.0138888888888889	2.63611111111111	1.44098647255477	0.175454523337158	0.489176078017804	0.421299971498587	5013/51384	2
Metabolism	Amino acid metabolism	hsa00250	Alanine, aspartate and glutamate metabolism	1/45	37/8541	0.027027027027027	5.12972972972973	1.83205626283534	0.177882210188292	0.489176078017804	0.421299971498587	8528	1
Human Diseases	Substance dependence	hsa05033	Nicotine addiction	1/45	41/8541	0.024390243902439	4.62926829268293	1.6952333218081	0.195148960558932	0.518246139789742	0.446336388335663	116443	1
Environmental Information Processing	Signal transduction	hsa04390	Hippo signaling pathway	2/45	157/8541	0.0127388535031847	2.41783439490446	1.30490122652361	0.200231463100582	0.518246139789742	0.446336388335663	51384/151449	2
Human Diseases	Endocrine and metabolic disease	hsa04930	Type II diabetes mellitus	1/45	47/8541	0.0212765957446809	4.03829787234043	1.52002625866954	0.220386150075061	0.554113748760154	0.477227152042238	777	1
Human Diseases	Substance dependence	hsa05030	Cocaine addiction	1/45	49/8541	0.0204081632653061	3.8734693877551	1.46800509338213	0.228625318034352	0.554689228359541	0.477722780405346	116443	1
Environmental Information Processing	Signal transduction	hsa04310	Wnt signaling pathway	2/45	174/8541	0.0114942528735632	2.1816091954023	1.14601827204875	0.233221607378443	0.554689228359541	0.477722780405346	51384/4919	2
Organismal Systems	Development and regeneration	hsa04360	Axon guidance	2/45	184/8541	0.0108695652173913	2.06304347826087	1.06087124559485	0.252810973037886	0.579440300591195	0.49903949333213	57522/151449	2
Human Diseases	Infectious disease: bacterial	hsa05134	Legionellosis	1/45	56/8541	0.0178571428571429	3.38928571428571	1.30546164611043	0.256797405943825	0.579440300591195	0.49903949333213	4671	1
Human Diseases	Cancer: specific types	hsa05217	Basal cell carcinoma	1/45	63/8541	0.0158730158730159	3.01269841269841	1.1668907926781	0.283962639751354	0.624717807452979	0.538034475318355	51384	1
Environmental Information Processing	Signal transduction	hsa04151	PI3K-Akt signaling pathway	3/45	362/8541	0.00828729281767956	1.57292817679558	0.810647976649893	0.297551227222953	0.627199460408617	0.540171784083976	2335/1285/1286	3
Human Diseases	Cancer: specific types	hsa05221	Acute myeloid leukemia	1/45	68/8541	0.0147058823529412	2.79117647058824	1.07920057760171	0.302769480796985	0.627199460408617	0.540171784083976	2209	1
Human Diseases	Substance dependence	hsa05031	Amphetamine addiction	1/45	69/8541	0.0144927536231884	2.75072463768116	1.06261845865119	0.306472463608756	0.627199460408617	0.540171784083976	116443	1
Human Diseases	Infectious disease: bacterial	hsa05100	Bacterial invasion of epithelial cells	1/45	78/8541	0.0128205128205128	2.43333333333333	0.925465582262448	0.338945494613016	0.653287535393085	0.562639982635193	2335	1
Organismal Systems	Nervous system	hsa04721	Synaptic vesicle cycle	1/45	79/8541	0.0126582278481013	2.40253164556962	0.911418090674462	0.34246049552787	0.653287535393085	0.562639982635193	6507	1
Human Diseases	Infectious disease: parasitic	hsa05140	Leishmaniasis	1/45	79/8541	0.0126582278481013	2.40253164556962	0.911418090674462	0.34246049552787	0.653287535393085	0.562639982635193	2209	1
Cellular Processes	Transport and catabolism	hsa04146	Peroxisome	1/45	83/8541	0.0120481927710843	2.28674698795181	0.857287134976597	0.356338655668955	0.653287535393085	0.562639982635193	8528	1
Organismal Systems	Immune system	hsa04623	Cytosolic DNA-sensing pathway	1/45	83/8541	0.0120481927710843	2.28674698795181	0.857287134976597	0.356338655668955	0.653287535393085	0.562639982635193	653082	1
Human Diseases	Infectious disease: bacterial	hsa05132	Salmonella infection	2/45	251/8541	0.00796812749003984	1.51235059760956	0.599590554852763	0.383070849649167	0.676829063227771	0.582914982684205	838/4671	2
Environmental Information Processing	Signal transduction	hsa04020	Calcium signaling pathway	2/45	254/8541	0.0078740157480315	1.49448818897638	0.582240018488568	0.388741854283419	0.676829063227771	0.582914982684205	777/116443	2
Organismal Systems	Environmental adaptation	hsa04713	Circadian entrainment	1/45	97/8541	0.0103092783505155	1.95670103092784	0.689629668764301	0.402693388856395	0.676829063227771	0.582914982684205	9722	1
Organismal Systems	Immune system	hsa04666	Fc gamma R-mediated phagocytosis	1/45	99/8541	0.0101010101010101	1.91717171717172	0.667995470541043	0.409043166018963	0.676829063227771	0.582914982684205	2209	1
Organismal Systems	Immune system	hsa04640	Hematopoietic cell lineage	1/45	100/8541	0.01	1.898	0.657366134654832	0.412193255752338	0.676829063227771	0.582914982684205	2209	1
Organismal Systems	Endocrine system	hsa04916	Melanogenesis	1/45	101/8541	0.0099009900990099	1.87920792079208	0.646858062994315	0.415326925162496	0.676829063227771	0.582914982684205	51384	1
Environmental Information Processing	Signal transduction	hsa04350	TGF-beta signaling pathway	1/45	108/8541	0.00925925925925926	1.75740740740741	0.576472130396814	0.436809817052415	0.688219750075891	0.592725143606031	151449	1
Organismal Systems	Immune system	hsa04659	Th17 cell differentiation	1/45	109/8541	0.0091743119266055	1.74128440366973	0.566840344402442	0.439815100846159	0.688219750075891	0.592725143606031	246778	1
Organismal Systems	Endocrine system	hsa04914	Progesterone-mediated oocyte maturation	1/45	111/8541	0.00900900900900901	1.70990990990991	0.547871716862592	0.445778701753702	0.688219750075891	0.592725143606031	388333	1
Environmental Information Processing	Signaling molecules and interaction	hsa04060	Cytokine-cytokine receptor interaction	2/45	298/8541	0.00671140939597315	1.2738255033557	0.350160631757789	0.46912355629351	0.71177367161774	0.613010817661211	246778/151449	2
Cellular Processes	Cell growth and death	hsa04210	Apoptosis	1/45	136/8541	0.00735294117647059	1.39558823529412	0.338432375993776	0.515283935592884	0.724042242715413	0.623577051142461	5414	1
Human Diseases	Infectious disease: bacterial	hsa05135	Yersinia infection	1/45	138/8541	0.0072463768115942	1.37536231884058	0.323519881723816	0.520460645370011	0.724042242715413	0.623577051142461	2335	1
Cellular Processes	Cell growth and death	hsa04114	Oocyte meiosis	1/45	139/8541	0.00719424460431655	1.36546762589928	0.316149801826983	0.523028689039932	0.724042242715413	0.623577051142461	388333	1
Organismal Systems	Development and regeneration	hsa04380	Osteoclast differentiation	1/45	143/8541	0.00699300699300699	1.32727272727273	0.28722209098554	0.533167065798251	0.724042242715413	0.623577051142461	2209	1
Human Diseases	Neurodegenerative disease	hsa05017	Spinocerebellar ataxia	1/45	144/8541	0.00694444444444444	1.31805555555556	0.280123855870154	0.535668552109167	0.724042242715413	0.623577051142461	116443	1
Human Diseases	Cancer: specific types	hsa05224	Breast cancer	1/45	148/8541	0.00675675675675676	1.28243243243243	0.252240461823657	0.545544089935961	0.724042242715413	0.623577051142461	51384	1
Human Diseases	Cancer: specific types	hsa05226	Gastric cancer	1/45	150/8541	0.00666666666666667	1.26533333333333	0.238593452944278	0.550404546034801	0.724042242715413	0.623577051142461	51384	1
Metabolism	Global and overview maps	hsa01240	Biosynthesis of cofactors	1/45	154/8541	0.00649350649350649	1.23246753246753	0.211859179056173	0.559973457977363	0.724042242715413	0.623577051142461	4337	1
Human Diseases	Endocrine and metabolic disease	hsa04934	Cushing syndrome	1/45	155/8541	0.00645161290322581	1.22451612903226	0.205288161911507	0.562334396857894	0.724042242715413	0.623577051142461	51384	1
Environmental Information Processing	Signal transduction	hsa04150	mTOR signaling pathway	1/45	158/8541	0.00632911392405063	1.20126582278481	0.185834688398759	0.569343142472243	0.724042242715413	0.623577051142461	51384	1
Cellular Processes	Transport and catabolism	hsa04145	Phagosome	1/45	159/8541	0.00628930817610063	1.1937106918239	0.179434631223441	0.57165491136032	0.724042242715413	0.623577051142461	2209	1
Environmental Information Processing	Signaling molecules and interaction	hsa04080	Neuroactive ligand-receptor interaction	2/45	370/8541	0.00540540540540541	1.02594594594595	0.0371330571609483	0.586645345608528	0.724042242715413	0.623577051142461	116443/130576	2
Environmental Information Processing	Signal transduction	hsa04630	JAK-STAT signaling pathway	1/45	168/8541	0.00595238095238095	1.1297619047619	0.123620144669828	0.591922150488878	0.724042242715413	0.623577051142461	246778	1
Human Diseases	Cancer: specific types	hsa05225	Hepatocellular carcinoma	1/45	170/8541	0.00588235294117647	1.11647058823529	0.11162976204265	0.596296985670084	0.724042242715413	0.623577051142461	51384	1
Genetic Information Processing	Translation	hsa03010	Ribosome	1/45	172/8541	0.00581395348837209	1.10348837209302	0.099780789358684	0.600625951343468	0.724042242715413	0.623577051142461	6192	1
Human Diseases	Infectious disease: bacterial	hsa05152	Tuberculosis	1/45	182/8541	0.0054945054945055	1.04285714285714	0.0425314007724247	0.621599027390603	0.73919884338342	0.636630582818256	2209	1
Human Diseases	Substance dependence	hsa05034	Alcoholism	1/45	188/8541	0.00531914893617021	1.00957446808511	0.00966051502119688	0.633661811443559	0.741688769658127	0.638775016930445	116443	1
Organismal Systems	Immune system	hsa04613	Neutrophil extracellular trap formation	1/45	193/8541	0.00518134715025907	0.983419689119171	-0.0169554001629806	0.643426216912504	0.741688769658127	0.638775016930445	2209	1
Cellular Processes	Cell motility	hsa04814	Motor proteins	1/45	197/8541	0.0050761421319797	0.963451776649746	-0.0377694078505889	0.651054094562728	0.741688769658127	0.638775016930445	10112	1
Human Diseases	Infectious disease: bacterial	hsa05130	Pathogenic Escherichia coli infection	1/45	203/8541	0.00492610837438424	0.934975369458128	-0.0682374685603249	0.662197634532718	0.741688769658127	0.638775016930445	4671	1
Human Diseases	Cancer: overview	hsa05203	Viral carcinogenesis	1/45	205/8541	0.0048780487804878	0.925853658536585	-0.0782016190893401	0.665834236397637	0.741688769658127	0.638775016930445	3249	1
Genetic Information Processing	Transcription	hsa03040	Spliceosome	1/45	217/8541	0.00460829493087558	0.874654377880184	-0.136113418574711	0.686863435009348	0.755549778510283	0.650712727903593	103625684	1
Environmental Information Processing	Signal transduction	hsa04024	cAMP signaling pathway	1/45	226/8541	0.00442477876106195	0.839823008849558	-0.177603354601175	0.701780617541435	0.7624283252302	0.656636835126488	116443	1
Cellular Processes	Cell motility	hsa04810	Regulation of actin cytoskeleton	1/45	232/8541	0.00431034482758621	0.818103448275862	-0.204419357711966	0.71133698884713	0.763386036811554	0.657461658497989	2335	1
Human Diseases	Infectious disease: bacterial	hsa05131	Shigellosis	1/45	250/8541	0.004	0.7592	-0.281223086035396	0.738244737446458	0.776368044640377	0.668642335096976	4671	1
Cellular Processes	Transport and catabolism	hsa04144	Endocytosis	1/45	252/8541	0.00396825396825397	0.753174603174603	-0.289445621866362	0.741078588065815	0.776368044640377	0.668642335096976	2352	1
Environmental Information Processing	Signal transduction	hsa04010	MAPK signaling pathway	1/45	300/8541	0.00333333333333333	0.632666666666667	-0.471366756641684	0.800765469371058	0.829027780054742	0.713995217272027	777	1
Human Diseases	Neurodegenerative disease	hsa05016	Huntington disease	1/45	311/8541	0.00321543408360129	0.610289389067524	-0.509507343764295	0.812418037585681	0.831311480320232	0.715962040467186	6507	1
Human Diseases	Neurodegenerative disease	hsa05010	Alzheimer disease	1/45	391/8541	0.00255754475703325	0.48542199488491	-0.758034084229334	0.879280837510676	0.889387513803902	0.765979676960299	51384	1
Human Diseases	Neurodegenerative disease	hsa05022	Pathways of neurodegeneration - multiple diseases	1/45	483/8541	0.0020703933747412	0.39296066252588	-0.999550427933991	0.927672054261286	0.927672054261286	0.798952008454696	51384	1
